Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
E E L I Division Koraput,E E L I Division Koraput,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,02/2023-24,2023_OLIC_92867_35,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,25-Aug-2023 10:00 AM,07-Sep-2023 11:00 AM,25-Aug-2023 10:00 AM,05-Sep-2023 05:00 PM,NA ,NA ,25-Aug-2023 10:00 AM,05-Sep-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Detail Tender Call notice, PAN ,GST, Civil and Electrical Contractors Licence, Labour Licence,Experi",1.0,ICICI BANK,"13,112",No,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,Revival of Cherkaput-II L.I.Project under Kundra Block of Koraput District,Revival of Cherkaput-II L.I.Project under Kundra Block of Koraput District,Please refer Tender documents. ,NA ,"13,11,200",Civil Works - Lift Irrigation Schemes,NA ,Tender,270.0,90.0,Koraput,764020.0,NA ,NA ,NA ,L I Division Koraput,No ,No,AOC,11-Oct-2023,"INR 1,392,494",90.0,JUGAL TAKRI,11-Oct-2023 05:27 PM,AOCsummary.pdf (40.00 KB),Accepted,Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimater",JUGAL TAKRI,08-Oct-2023 06:17 PM,finsummary_452047.pdf (204.04 KB),Finance,Ten no bidders are participated successfully.,JUGAL TAKRI,06-Oct-2023 03:55 PM,finance_452047.pdf,BOQ Comparative Chart,1,2235182,CHANDAN NAYAK,04-Sep-2023 07:04 PM,Rejected-AOC,Rejected,11-Oct-2023 05:28 PM,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,2023_OLIC_92867_35,02/2023-24,Revival of Cherkaput-II L.I.Project under Kundra Block of Koraput District,1.0,2235186.0,RABINDRA KUMAR SIA,INR,"1,392,494",Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimater",JUGAL TAKRI,08-Oct-2023 04:22 PM,techsummary_452047.pdf (204.04 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2235111,DAITARI SIA,04-Sep-2023 10:03 PM,Rejected-AOC,Rejected,11-Oct-2023 05:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,2234291,HARA PRASAD NAYAK,05-Sep-2023 11:50 AM,Rejected-AOC,Rejected,11-Oct-2023 05:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,2236122,JAGADISH ENTERPRISES,05-Sep-2023 11:57 AM,Rejected-AOC,Rejected,11-Oct-2023 05:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,2233633,M/S MAHAMAYEE ENTERPRISES,04-Sep-2023 01:16 PM,Rejected-AOC,Rejected,11-Oct-2023 05:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,2233542,M/S. PADHI ELECTRICALS,03-Sep-2023 09:55 PM,Rejected-AOC,Rejected,11-Oct-2023 05:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,2233141,M/S SHANTI POWER AND CONSTRUCTION,04-Sep-2023 09:13 PM,Rejected-AOC,Rejected,11-Oct-2023 05:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,2235186,RABINDRA KUMAR SIA,04-Sep-2023 08:41 PM,Accepted-AOC,Accepted,11-Oct-2023 05:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,2236739,SRI. KAMADEV NAYAK,05-Sep-2023 01:53 PM,Rejected-AOC,Rejected,11-Oct-2023 05:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,2235978,SWITCHGEAR ENGINEERING AND MAINTENANCE PVT LTD,05-Sep-2023 01:30 AM,Rejected-AOC,Rejected,11-Oct-2023 05:28 PM,,,,,,,,,,,,,,,,AOC
