Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
E E L I Division Koraput,E E L I Division Koraput,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,02/2023-24,2023_OLIC_92867_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Revival of Nandigam-II L.I.Project under Dasmantpur Block of Koraput District,Revival of Nandigam-II L.I.Project under Dasmantpur Block of Koraput District,Please refer Tender documents. ,NA ,"13,80,200",Civil Works - Lift Irrigation Schemes,NA ,Tender,270.0,90.0,Koraput,764020.0,NA ,NA ,NA ,L I Division Koraput,No ,No,1.0,ICICI BANK,25-Aug-2023 10:00 AM,07-Sep-2023 11:00 AM,25-Aug-2023 10:00 AM,05-Sep-2023 05:00 PM,NA ,NA ,25-Aug-2023 10:00 AM,05-Sep-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Detail Tender Call notice, PAN ,GST, Civil and Electrical Contractors Licence, Labour Licence,Experi","6,000",0.0,Nil,Nil,No,"13,802",No,percentage,1.0%,Nil,Nil,AOC,11-Oct-2023,"INR 1,465,935",90.0,JUGAL TAKRI,11-Oct-2023 06:09 PM,AOCsummary.pdf (40.00 KB),Accepted,Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimater",JUGAL TAKRI,08-Oct-2023 05:51 PM,finsummary_451859.pdf (204.04 KB),Finance,Eleven no bidders are participated successfully.,JUGAL TAKRI,06-Oct-2023 03:39 PM,finance_451859.pdf,BOQ Comparative Chart,1,2234905,BADAL PATTNAIK,05-Sep-2023 10:39 AM,Rejected-AOC,Rejected,11-Oct-2023 06:10 PM,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,2023_OLIC_92867_21,02/2023-24,Revival of Nandigam-II L.I.Project under Dasmantpur Block of Koraput District,1.0,2233453.0,M/S. PADHI ELECTRICALS,INR,"1,465,935",Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimater",JUGAL TAKRI,08-Oct-2023 04:34 PM,techsummary_451859.pdf (204.04 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2235137,CHANDAN NAYAK,04-Sep-2023 06:38 PM,Rejected-AOC,Rejected,11-Oct-2023 06:10 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,2237495,DEBABRATA ROUT,05-Sep-2023 04:07 PM,Rejected-AOC,Rejected,11-Oct-2023 06:10 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,2236968,MAA ELECTRICAL & CONSTRUCTION,05-Sep-2023 02:08 PM,Rejected-AOC,Rejected,11-Oct-2023 06:10 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,2235898,MANOJ KUMAR PANDA,04-Sep-2023 11:44 PM,Rejected-AOC,Rejected,11-Oct-2023 06:10 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,2236378,M/s. G.S ENTERPRISES,05-Sep-2023 01:57 PM,Rejected-AOC,Rejected,11-Oct-2023 06:10 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,2235612,M/S. MAA DURGA ENGINEERING ASSOCIATES,05-Sep-2023 12:11 PM,Rejected-AOC,Rejected,11-Oct-2023 06:10 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,2233453,M/S. PADHI ELECTRICALS,03-Sep-2023 09:13 PM,Accepted-AOC,Accepted,11-Oct-2023 06:10 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,2237014,"SAI VAISHNAVI ENTERPRISES, PROP. RAJ KUMAR PATRA",05-Sep-2023 01:37 PM,Rejected-AOC,Rejected,11-Oct-2023 06:10 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,2236702,SRI. KAMADEV NAYAK,05-Sep-2023 01:49 PM,Rejected-AOC,Rejected,11-Oct-2023 06:10 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,11,2236846,SUBHAM ELECTRICALS,05-Sep-2023 01:12 PM,Rejected-AOC,Rejected,11-Oct-2023 06:10 PM,,,,,,,,,,,,,,,,AOC
