Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"6,000",Nil,Nil,No,1,Date Extension,Date,,Design Photography Content Writing Print Production and Supply of Coffee Table Books Tribes of Odisha with approved specification Design Photography Content Writing Print Production and Supply of Coffee Table Books Bronze Treasurers of Odisha State,Design Photography Content Writing Print Production and Supply of Coffee Table Books Tribes of Odisha with approved specification Design Photography Content Writing Print Production and Supply of Coffee Table Books Bronze Treasurers of Odisha State,Please refer Tender documents. ,NA ,,Miscellaneous Works,NA ,Rate Contract,90.0,90.0,Works,751014.0,NA ,NA ,NA ,"Office of the Superintendent, Odisha State Museum,",No ,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Director Odia Language Literature and Culture||Odisha State Museum,1613/OSM,2023_OLLCM_92782_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,1,ICICI BANK,"38,000",No,fixed,,Nil,Nil,21-Aug-2023 01:30 PM,07-Sep-2023 11:30 AM,21-Aug-2023 05:00 PM,06-Sep-2023 04:00 PM,21-Aug-2023 05:00 PM ,25-Aug-2023 05:00 PM ,23-Aug-2023 10:00 AM,06-Sep-2023 04:00 PM,08-Sep-2023 04:00 PM,"Superintendent , Odisha State Museum","Office of the Superintendent, Odisha State Museum, Bhubneshwar, Odisha",AOC,Finance,OK,Bharati Pal,08-Sep-2023 07:21 PM,,BOQ Comparative Chart,Technical,2 BIDS RECEIVED AND SENT FOR TECHNICAL EVALUATION.,Bharati Pal,07-Sep-2023 12:01 PM,,1,2236534,KETAKI ENTERPRISES PVT LTD,05-Sep-2023 12:35 PM,Accepted-AOC,L1,19-Oct-2023 05:30 PM,Bhagyalipi Malla,Internal,,Bhagyalipi Malla,19-Oct-2023 05:18 PM,finsummary_450799.pdf (970.41 KB),19-Oct-2023,"INR 3,585,500",90.0,Bhagyalipi Malla,19-Oct-2023 05:28 PM,Ketaki_Workorder_1613.pdf (363.00 KB),Bhagyalipi Malla,Internal,Dr. Bharti Pal and Padmajyoti Sahoo,Bhagyalipi Malla,08-Sep-2023 12:51 PM,08-Sep-2023 04:00 PM,techsummary_450799.pdf (149.52 KB),Director Odia Language Literature and Culture||Odisha State Museum,2023_OLLCM_92782_1,1613/OSM,Design Photography Content Writing Print Production and Supply of Coffee Table Books Tribes of Odisha with approved specification Design Photography Content Writing Print Production and Supply of Coffee Table Books Bronze Treasurers of Odisha State,1.0,2236534.0,KETAKI ENTERPRISES PVT LTD,INR,"3,585,500",AOC
,,,,2,BID Document,Other,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Proposition / Bid,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,2234686,M/s PRINT-TECH OFFSET PRIVATE LIMITED,05-Sep-2023 05:40 PM,Rejected-AOC,not acceptable cost,19-Oct-2023 05:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
