Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Const of cc road and drain from Gandhi Bhawan to Govt. Bus Stand side road, Gourpada, Ward No-11","Const of cc road and drain from Gandhi Bhawan to Govt. Bus Stand side road, Gourpada, Ward No-11",Please refer Tender documents. ,NA ,"5,51,918",Civil Works - Roads,NA ,Tender,180.0,6.0,BARGARH MUNICIPALITY,768028.0,NA ,NA ,NA ,BARGARH MUNICIPALITY,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,dtcn,EXECUTIVE OFFICER,BARGARH MUNICIPALITY,"4,000",0.0,Nil,Nil,No,21-Jan-2023 03:00 PM,06-Feb-2023 11:00 AM,21-Jan-2023 03:00 PM,04-Feb-2023 05:30 PM,21-Jan-2023 03:00 PM ,04-Feb-2023 05:30 PM ,21-Jan-2023 03:00 PM,04-Feb-2023 05:30 PM,Municipal Bodies||Bargarh Municipal Council,10/BGH- MUN/2022-23,2023_ORULB_85372_43,Yes,Open Tender,Item Wise,Works,1.0,No,No,Online,No,No,No,"5,600",Yes,fixed,,Nil,Nil,1,ICICI BANK,AOC,1,2069961,Ambarish Kumar Dhal,04-Feb-2023 02:17 PM,Accepted-AOC,AOC,07-Oct-2023 04:51 PM,07-Oct-2023,"INR 551,918",180.0,Narayan Dandsena,07-Oct-2023 04:51 PM,WO-43.pdf (539.00 KB),CP,Internal,All Member,Narayan Dandsena,07-Oct-2023 04:44 PM,techsummary_425670.pdf (308.33 KB),Municipal Bodies||Bargarh Municipal Council,2023_ORULB_85372_43,10/BGH- MUN/2022-23,"Const of cc road and drain from Gandhi Bhawan to Govt. Bus Stand side road, Gourpada, Ward No-11",CP,Internal,Members,Narayan Dandsena,07-Oct-2023 04:48 PM,finsummary_425670.pdf (308.33 KB),Finance,Accepted,Prangya Paramita Panigrahi,02-Oct-2023 10:08 PM,finance_425670.pdf,BOQ Comparative Chart,1.0,2069961.0,Ambarish Kumar Dhal,INR,"551,918",AOC
,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,2,2069742,DEBANAND BARIHA,04-Feb-2023 02:02 PM,Rejected-Finance,Due to L2,07-Oct-2023 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
