Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Municipal Bodies||Cuttack Municipal Corporation,2023_ORULB_90180_2,MC(CMC)CTC_Div-II_No16/2023-24,"In-Situ Ecological Rejuvenation of Bapist Mission Pond Waterbodies for complete transformation of the water quality to IS2296, class B, standards for outdoor bathing quality Water for a period of One Year. using Cownomics Technology",1.0,2187894.0,Brethegreen India Private Limited,INR,"3,493,023",Executive Engineer,Internal,Deputy Executive Engineer,Dibya Ranjan Tripathy,07-Oct-2023 11:29 AM,techsummary_444883.pdf (76.24 KB),07-Oct-2023,"INR 3,493,023",365.0,Dibya Ranjan Tripathy,07-Oct-2023 12:13 PM,2.pdf (91.00 KB),W.O.,Finance,Two bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Dibya Ranjan Tripathy,04-Aug-2023 11:41 AM,finance_444883.pdf,BOQ Comparative Chart,Executive Engineer,Internal,Deputy Executive Engineer,Dibya Ranjan Tripathy,07-Oct-2023 11:49 AM,finsummary_444883.pdf (76.24 KB),1,2187894,Brethegreen India Private Limited,27-Jul-2023 09:56 PM,Accepted-AOC,Accepted,07-Oct-2023 12:14 PM,AOC,"34,000",Yes,fixed,,Nil,Nil,"In-Situ Ecological Rejuvenation of Bapist Mission Pond Waterbodies for complete transformation of the water quality to IS2296, class B, standards for outdoor bathing quality Water for a period of One Year. using Cownomics Technology","In-Situ Ecological Rejuvenation of Bapist Mission Pond Waterbodies for complete transformation of the water quality to IS2296, class B, standards for outdoor bathing quality Water for a period of One Year. using Cownomics Technology",Please refer Tender documents. ,NA ,"33,91,284",Miscellaneous Works,In-Situ Ecological Rejuvenation of waterbody using ,Tender,270.0,365.0,CMC area,753012.0,NA ,NA ,NA ,"Bikash Bhawan,Jagannath Lane,Badambadi-753012",No ,No,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-II_No16/2023-24,2023_ORULB_90180_2,Yes,Open Tender,EOI,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online.","7,080",0.0,Nil,Nil,No,"Executive Engineer,Div-II","Bikash Bhawan,Jagannath Lane,Badambadi-753012",1,ICICI BANK,21-Jul-2023 06:00 PM,02-Aug-2023 10:00 AM,21-Jul-2023 06:00 PM,31-Jul-2023 05:00 PM,NA ,NA ,21-Jul-2023 06:00 PM,31-Jul-2023 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2188628,UNISON SECURITY & INTER ALIA SERVICES,28-Jul-2023 08:22 PM,Rejected-AOC,Rejected,07-Oct-2023 12:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,AOC
