Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"6,000",0.0,Nil,Nil,No,"Executive Officer, Talcher Municipality","At - Municipal Office, P.O. Talcher Town, Dist,Angul","10,280",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of TP, EMD, Contractor License, GSTIN, PAN, Affidavit and other documents as per DTCN",Const. of CC road and drain from Munda Sahi to Lingaraj road in W.No.12,Const. of CC road and drain from Munda Sahi to Lingaraj road in W.No.12,Please refer Tender documents. ,NA ,"10,28,000",Civil Works - Others,NA ,Tender,90.0,60.0,Talcher Municipality Office,759107.0,NA ,NA ,NA ,"Municipality Office, Talcher",No ,No,18-May-2023 04:00 PM,30-May-2023 11:00 AM,18-May-2023 04:00 PM,29-May-2023 05:00 PM,NA ,NA ,18-May-2023 04:00 PM,29-May-2023 05:00 PM,1.0,ICICI BANK,Municipal Bodies||Talcher Municipal Council,TCRM-02/2023-24,2023_ORULB_89097_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,1.0,2145167.0,BINAYA KUMAR DAS,INR,"873,903",Municipal Bodies||Talcher Municipal Council,2023_ORULB_89097_7,TCRM-02/2023-24,Const. of CC road and drain from Munda Sahi to Lingaraj road in W.No.12,Sri Pabitra Bhutia,Internal,,BALAYA DEHURY,19-Jul-2023 11:55 AM,techsummary_438260.pdf (214.55 KB),30-Oct-2023,"INR 873,903",30.0,BALAYA DEHURY,30-Oct-2023 07:31 PM,womundasahi.pdf (415.00 KB),Sri Pabitra Bhutia,Internal,,BALAYA DEHURY,30-Oct-2023 07:29 PM,finsummary_438260.pdf (214.55 KB),Finance,3 Nos. bidders are admitted,BALAYA DEHURY,06-Jun-2023 11:24 AM,,BOQ Comparative Chart,1,2145167,BINAYA KUMAR DAS,23-May-2023 08:20 PM,Accepted-AOC,Successful,30-Oct-2023 07:34 PM,AOC
,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2150465,BULU JENA,29-May-2023 04:18 PM,Rejected-AOC,Unsuccessful,30-Oct-2023 07:34 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2148413,CHANDAN KUMAR DALAI,29-May-2023 04:25 PM,Rejected-AOC,Unsuccessful,30-Oct-2023 07:34 PM,AOC
