Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"SE,UKID, Borigumma",Internal,"Divisional Accountant , Estimator",PRADEEP KUMAR SENAPATI,15-Oct-2023 11:23 PM,finsummary_455135.pdf (390.24 KB),CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Telengiri Canal Division Ambaguda,2023_TCDA_93333_1,SEUKID 01/2023-24 (SL08),Construction of trough from RD 0.028km to 0.071km including repair of vertical fall and HR of Kerkenda Minor .,16-Oct-2023,"INR 837,441",90.0,PRADEEP KUMAR SENAPATI,18-Oct-2023 11:09 PM,WO08.pdf (225.00 KB),Work Order,1.0,2244203.0,Khirod Kumar Moharana,INR,"711,909",Finance,Bid opening summary,PRADEEP KUMAR SENAPATI,14-Oct-2023 11:49 PM,finance_455135.pdf,BOQ Comparative Chart,1,2242084,BIJAYA KUMAR SADANGI,08-Sep-2023 03:51 PM,Rejected-Finance,Disqualified in transparent lottery system.,15-Oct-2023 11:23 PM,"SE,UKID, Borigumma",Internal,"Divisional Accountant , Estimator",PRADEEP KUMAR SENAPATI,15-Oct-2023 12:59 AM,techsummary_455135.pdf (243.15 KB),AOC,"8,400",Yes,fixed,,Nil,Nil,CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Telengiri Canal Division Ambaguda,SEUKID 01/2023-24 (SL08),2023_TCDA_93333_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"SE UKIDIVN, Borigumma,Dist-Koraput","Office of the Superintending Engineer, U.K.I.Division,Borigumma, Dist- Koraput, PIN 764056",1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, EMD, GST Registration Certificate, GSTIN, PAN and Contractor RC","4,000",Nil,Nil,Yes,1.0,ICICI BANK,29-Aug-2023 11:00 AM,11-Sep-2023 11:00 AM,29-Aug-2023 11:00 AM,09-Sep-2023 05:30 PM,NA ,NA ,29-Aug-2023 11:00 AM,09-Sep-2023 05:30 PM,Construction of trough from RD 0.028km to 0.071km including repair of vertical fall and HR of Kerkenda Minor .,CANAL STRUCTURAL WORK,AS PER DTCN ,NA ,"8,37,441",Civil Works - Canal,NA ,Tender,90.0,90.0,BORIGUMMA,764056.0,NA ,NA ,NA ,"Office of the SE UKIDIVN, Borigumma,Dist-Koraput.",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2245774,DAMBRU DHAR NAYAK,09-Sep-2023 12:12 PM,Rejected-Finance,Disqualified in transparent lottery system.,15-Oct-2023 11:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Tender cost, undertaking, Check list, and any other documents as per DTCN",,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2246140,GANESHA HARIJAN,09-Sep-2023 02:02 PM,Rejected-Finance,Disqualified in transparent lottery system.,15-Oct-2023 11:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2232205,JANHABI BISOI,02-Sep-2023 08:38 PM,Rejected-Finance,Disqualified in transparent lottery system.,15-Oct-2023 11:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2244203,Khirod Kumar Moharana,08-Sep-2023 10:06 AM,Accepted-AOC,Qualified in transparent lottery system.,18-Oct-2023 11:10 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2245686,M/S Padam Mali,08-Sep-2023 09:11 PM,Rejected-Finance,Disqualified in transparent lottery system.,15-Oct-2023 11:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2244359,Rajesh Gouda,08-Sep-2023 12:08 PM,Rejected-Finance,Disqualified in transparent lottery system.,15-Oct-2023 11:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2244016,RASHMITA BISHOI,07-Sep-2023 09:50 PM,Rejected-Finance,Disqualified in transparent lottery system.,15-Oct-2023 11:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2245801,SANJUKTA PATTNAYAK,09-Sep-2023 10:03 AM,Rejected-Finance,Disqualified in transparent lottery system.,15-Oct-2023 11:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2246022,SUJATA RANI PATNAIK,09-Sep-2023 01:10 PM,Rejected-Technical,Invalid Contractor Registration Certificate,15-Oct-2023 12:59 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
