S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1,2203905,ANJALI RATHA,17-Aug-2023 07:19 AM,Accepted-AOC,L1 Bidder,20-Oct-2023 05:47 PM,29-Sep-2023,"INR 4,449,489.22",180.0,Trinath Rout,20-Oct-2023 05:46 PM,PadampurMY.pdf (236.00 KB),Work order,Finance,"The bids were scrutinized and evaluated by the TEC,RMC Padampur as per the term and conditions of the DTCN.",Trinath Rout,07-Sep-2023 12:54 PM,finance_446724.pdf,BOQ Comparative Chart,"Sub-Collector,Padampur-cum-Chairman,RMC,Padampur",Internal,"Secretary,RMC,Padampur,Assistant Enigneer,OSAM Board,Bhubaneswar,Junior Engineer,OSAM Board,Bhubaneswar and Accountant,RMC,Padampur",Trinath Rout,07-Sep-2023 01:33 PM,finsummary_446724.pdf (891.59 KB),"Sub-Collector,Padampur-cum-Chairman,RMC,Padampur",Internal,"Secretary,RMC,Padampur,Assistant Enigneer,OSAM Board,Bhubaneswar,Junior Engineer,OSAM Board,Bhubaneswar and Accountant,RMC,Padampur",Trinath Rout,07-Sep-2023 01:19 PM,techsummary_446724.pdf (891.59 KB),1.0,2203905.0,ANJALI RATHA,INR,"4,404,994",Odisha State Agricultural Marketing Board||RMC Padampur,2023_OSAMB_91860_1,01/RMCPADAMPUR 2023-2024,"Construction of Production Centre and Outlet at Padampur MMY under RMC, Padampur",AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"6,000",Nil,Nil,No,1.0,ICICI BANK,07-Aug-2023 09:55 AM,22-Aug-2023 11:00 AM,07-Aug-2023 10:00 AM,21-Aug-2023 05:00 PM,NA ,NA ,07-Aug-2023 10:00 AM,21-Aug-2023 05:00 PM,Odisha State Agricultural Marketing Board||RMC Padampur,01/RMCPADAMPUR 2023-2024,2023_OSAMB_91860_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"44,500",Yes,fixed,,Nil,Nil,"Sub-Collector,Padampur-cum-Chairman,RMC,Padampur","At-Padampur P.O. Rajborasambar, Dist. Bargarh PIN 768036","Construction of Production Centre and Outlet at Padampur MMY under RMC, Padampur",Civil works,Please refer Tender documents. ,NA ,"44,49,489",Civil Works - Buildings,NA ,Rate Contract,90.0,180.0,Padampur MMY,768036.0,NA ,NA ,NA ,"Office of RMC, Padampur",No ,No,AOC
2,2209552,KAMALA KANTA MAHALA,21-Aug-2023 04:04 PM,Rejected-Finance,quoted 4.00 excess than the tender value.,07-Sep-2023 01:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3,2209608,MANAS RANJAN MISHRA,21-Aug-2023 04:19 PM,Rejected-Finance,quoted 6.00 excess than the tender value.,07-Sep-2023 01:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
