Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Selection and appointment of L-II Transport Contractor to lift the Food grains from RRC to FPS Points of Anandapur Block,Selection and appointment of L-II Transport Contractor to lift the Food grains from RRC to FPS Points of Anandapur Block,Please refer Tender documents. ,NA ,,Handling and Transportation,NA ,Tender,45.0,730.0,Keonjhar,758001.0,"Office of the CCSO-cum-DM, OSCSC Ltd., Keonjhar ","Office of the CCSO-cum-DM, OSCSC Ltd., Keonjhar ",20-Apr-2023 10:00 AM ,"Office of the ADM (Gen.), Keonjhar",No ,No,1,ICICI BANK,1,Fee/PreQual/Technical,.pdf,Selection and appointment of L-II Transport Contractor to lift the Food grains from RRC to FPS Point,"5,900",0.0,Nil,Nil,No,"2,69,171",Yes,fixed,,Nil,Nil,18-Apr-2023 04:30 PM,02-May-2023 10:00 AM,18-Apr-2023 04:30 PM,01-May-2023 05:00 PM,18-Apr-2023 04:30 PM ,20-Apr-2023 09:00 AM ,18-Apr-2023 04:30 PM,01-May-2023 05:00 PM,29-May-2023 11:00 AM,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Keonjhar,742.0,2023_OSCSC_88080_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"CCSO-cum-DM, OSCSC Ltd., Keonjhar","Office of the CCSO-cum-DM, OSCSC Ltd., Keonjhar",AOC,Collector Keonjhar,Internal,DLO DSWO RTO CCSO,Basanta Kumar Panda,23-May-2023 02:35 PM,29-May-2023 11:00 AM,techsummary_434789.pdf (271.95 KB),Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Keonjhar,2023_OSCSC_88080_1,742.0,Selection and appointment of L-II Transport Contractor to lift the Food grains from RRC to FPS Points of Anandapur Block,1.0,2126961.0,PRADEEP KUMAR MUDULI,INR,42.33,Technical,Both the Bidders have been admitted,Basanta Kumar Panda,23-May-2023 01:22 PM,technical_434789.pdf,1,2126961,PRADEEP KUMAR MUDULI,30-Apr-2023 02:18 PM,Accepted-AOC,Awarded with AOC,18-Oct-2023 12:50 PM,Finance,Proceedings,Basanta Kumar Panda,04-Oct-2023 01:36 PM,finance_434789.pdf,BOQ Comparative Chart,Collector,Internal,,Basanta Kumar Panda,05-Oct-2023 12:54 PM,finsummary_434789.pdf (164.22 KB),05-Oct-2023,"INR 5,383,429",730.0,Basanta Kumar Panda,18-Oct-2023 12:49 PM,AOCLII.pdf (478.00 KB),AOC
,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,2,Finance,.xls,Selection and appointment of L-II Transport Contractor to lift the Food grains from RRC to FPS Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2126955,TARAKANTA DAS,30-Apr-2023 02:00 PM,Rejected-Finance,Rejected,05-Oct-2023 12:54 PM,,,,,,,,,,,,,,,,,,,AOC
