S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,"Construction of R.C.C. Drain from Lankeswari Girls high School to Main road in Ward No.04., N.A.C.,Junagarh.of C.C.Road from Mitu Goud house towards Fishery seed firm at Laxmisagar in Ward No.02., N.A.C.,Junagarh","Construction of R.C.C. Drain from Lankeswari Girls high School to Main road in Ward No.04., N.A.C.,Junagarh.",Please refer Tender documents. ,NA ,"6,30,550",Civil Works - Others,NA ,Tender,90.0,60.0,WARD NO 4,766014.0,NA ,NA ,NA ,O/o-NAC Junagarh,No ,No,Municipal Bodies||Junagarh NAC,JUNAGARH/NAC/02/2022-23,2023_ORULB_86467_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,306",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"GST Certificate,PAN,Affidavit,Cost of Tender Paper,EMD and other documents as per DTCN","Executive Officer,NAC Junagarh","NAC Office Junagarh Kalahandi,Odisha Pin-766014","4,000",0.0,Nil,Nil,No,24-Feb-2023 10:00 AM,09-Mar-2023 11:00 AM,24-Feb-2023 10:00 AM,06-Mar-2023 05:00 PM,NA ,NA ,24-Feb-2023 10:00 AM,06-Mar-2023 05:00 PM,AOC,As per the tender committee.,Internal,As per the tender committee.,Bira Singh Biroli,24-Sep-2023 09:20 PM,finsummary_429811.pdf (448.65 KB),Finance,ok,Biswambhar Mishra,09-Mar-2023 05:46 PM,,BOQ Comparative Chart,25-Sep-2023,"INR 630,281.017",60.0,Premlal Hial,10-Oct-2023 11:19 PM,jng.pdf (226.00 KB),As per the tender committee.,1,2094200,ANKIT KUMAR SAHOO,06-Mar-2023 12:08 PM,Rejected-Technical,L2,24-Sep-2023 05:02 PM,1.0,2095739.0,RADHESHYAM KAIBARTTA,INR,"630,281.017",Municipal Bodies||Junagarh NAC,2023_ORULB_86467_7,JUNAGARH/NAC/02/2022-23,"Construction of R.C.C. Drain from Lankeswari Girls high School to Main road in Ward No.04., N.A.C.,Junagarh.of C.C.Road from Mitu Goud house towards Fishery seed firm at Laxmisagar in Ward No.02., N.A.C.,Junagarh",CHAIRPERSON NAC JUNAGARH,Internal,,Premlal Hial,24-Sep-2023 05:02 PM,techsummary_429811.pdf (448.40 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2095739,RADHESHYAM KAIBARTTA,06-Mar-2023 12:26 PM,Accepted-AOC,l1,10-Oct-2023 11:19 PM,,,,,,,,,,,,,,,,AOC
