S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,Construction of drain at Laxmi Narayan Nagar in Ward No 01,Construction of drain at Laxmi Narayan Nagar in Ward No 01,Please refer Tender documents. ,NA ,"8,47,432",Civil Works - Others,NA ,Tender,120.0,90.0,KHORDHA MUNICIPALITY,752055.0,NA ,NA ,NA ,KHORDHA MUNICIPALITY OFFICE,No ,No,26-Jul-2023 11:00 AM,09-Aug-2023 11:00 AM,26-Jul-2023 11:00 AM,08-Aug-2023 05:00 PM,NA ,NA ,26-Jul-2023 11:00 AM,08-Aug-2023 05:00 PM,"4,000",0.0,Nil,Nil,No,"EXECUTIVE OFFICER,KHORDHA MUNICIPALITY","EXECUTIVE OFFICER,KHORDHA MUNICIPALITY",Municipal Bodies||Khordha Municipality,KMPLTY/ 05/2023-24,2023_ORULB_91129_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration certificate,GST,PAN and other documents as per DTCN","8,474",Yes,percentage,1.0%,Nil,Nil,AOC,1,2196910,SANDIP KUMAR BARMAN,08-Aug-2023 12:11 PM,Rejected-Finance,DUE TO L2,06-Oct-2023 04:07 PM,06-Oct-2023,"INR 805,145",60.0,Rizwana Kawkab,06-Oct-2023 04:09 PM,IMG_20231006_0008.pdf (546.00 KB),KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,06-Oct-2023 04:07 PM,finsummary_445055.pdf (375.98 KB),Finance,ok,Nihar Ranjan Sahu,09-Aug-2023 11:59 AM,,BOQ Comparative Chart,KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,06-Oct-2023 04:04 PM,techsummary_445055.pdf (375.98 KB),Municipal Bodies||Khordha Municipality,2023_ORULB_91129_1,KMPLTY/ 05/2023-24,Construction of drain at Laxmi Narayan Nagar in Ward No 01,1.0,2196539.0,SATYANARAYAN RAM,INR,"805,145",AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,AOC,2,2196539,SATYANARAYAN RAM,07-Aug-2023 07:35 PM,Accepted-AOC,DUE TO L1,06-Oct-2023 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
