Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"City Engineer, BMC","City Engineer, BMC, ICOMIC TOWER, BHUBANESWAR",Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-DD-CE-01/2023-24,2023_ORULB_89300_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,26-May-2023 10:30 AM,12-Jun-2023 11:00 AM,26-May-2023 10:30 AM,09-Jun-2023 05:00 PM,NA ,NA ,26-May-2023 10:30 AM,09-Jun-2023 05:00 PM,19-Jun-2023 11:00 AM,"2,29,429",Yes,percentage,1.0%,Nil,Nil,1,ICICI BANK,"10,000",0.0,Nil,Nil,No,"Construction of RCC drain with cover slab from Daya west Canal connecting to Gangua Nallah through OSCAR city Main Road, Laxmisagar in Ward No-43","Construction of RCC drain with cover slab from Daya west Canal connecting to Gangua Nallah through OSCAR city Main Road, Laxmisagar in Ward No-43",As per DTCN ,NA ,"2,29,42,904",Civil Works - Others,NA ,Tender,120.0,180.0,BMC AREA LIMITED,751022.0,NA ,NA ,NA ,Superintending Engineer chamber,No ,No,1,Fee/PreQual/Technical,.pdf,DTCN,AOC,Finance,2 bids opened successfully,Goutam Chandra Das,19-Jun-2023 11:45 AM,finance_439139.pdf,BOQ Comparative Chart,Technical,2 bids opened successfully.,Goutam Chandra Das,12-Jun-2023 12:22 PM,,1,2157867,KRUSHNA CHANDRA MOHANTY,08-Jun-2023 09:51 PM,Rejected-Finance,other than 1st lowest,05-Oct-2023 01:13 PM,05-Oct-2023,"INR 28,263,822",180.0,Goutam Chandra Das,05-Oct-2023 01:23 PM,WO-129.23.pdf (306.00 KB),CITY ENGINEER,Internal,"CITY ENGINEER,SE DRAINAGE,EE DIVISION(I),EE DIVISION(II),AEE(N)(DRAINAGE)",Goutam Chandra Das,05-Oct-2023 01:13 PM,finsummary_439139.pdf (109.87 KB),CITY ENGINEER,Internal,"CITY ENGINEER,SE DRAINAGE,EE DIVISION(I),EE DIVISION(II),AEE(N)(DRAINAGE)",Goutam Chandra Das,17-Jun-2023 05:11 PM,19-Jun-2023 11:00 AM,techsummary_439139.pdf (176.30 KB),Municipal Bodies||Bhubaneswar Municipal Corporation,2023_ORULB_89300_4,BMC-DD-CE-01/2023-24,"Construction of RCC drain with cover slab from Daya west Canal connecting to Gangua Nallah through OSCAR city Main Road, Laxmisagar in Ward No-43",1.0,2157663.0,MANOJ KUMAR SAHOO,INR,"28,263,822",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,2,2157663,MANOJ KUMAR SAHOO,09-Jun-2023 04:22 PM,Accepted-AOC,1st lowest,05-Oct-2023 01:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
