Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Municipal Bodies||Angul Municipality,2023_ORULB_90940_7,EO/AGLM-08/2023-24,Const. of c.c. drain from Bimal Mishra house to Santoshi Maa temple in ward No.21,1.0,2193042.0,NARAYAN NAYAK,INR,"773,256","Akshya Kumar Samant, Chairperson",Internal,"Sri Akshya Kumar Samant,Chairperson, Angul Municipality , Sri Girija Sankar Mallick, OAS, E.O.,Angul Municipality, Sri Harihar Naik, ATO, Angul, Sri Rabin Kumar DAS, AEE, Angul Municipality",Ghanashyam Tripathy,16-Oct-2023 12:58 PM,techsummary_444933.pdf (343.17 KB),18-Oct-2023,"INR 773,256",60.0,Ghanashyam Tripathy,18-Oct-2023 01:28 PM,AOC.pdf (802.00 KB),Date of agreement 24.08.2023 date of completion 23.10.2023,Finance,3 NOS BIDDER PARTICIPATED,Girija Sankar Mallik,04-Aug-2023 12:22 PM,,BOQ Comparative Chart,"Akshya Kumar Samant, Chairperson",Internal,"Sri Akshya Kumar Samant,Chairperson, Angul Municipality , Sri Girija Sankar Mallick, OAS, E.O.,Angul Municipality, Sri Harihar Naik, ATO, Angul, Sri Rabin Kumar DAS, AEE, Angul Municipality",Ghanashyam Tripathy,17-Oct-2023 05:11 PM,finsummary_444933.pdf (343.17 KB),1,2193072,ARUNA KUMAR PRADHAN,02-Aug-2023 03:23 PM,Rejected-AOC,Unsuccessful,18-Oct-2023 01:30 PM,AOC,Const. of c.c. drain from Bimal Mishra house to Santoshi Maa temple in ward No.21,Const. of c.c. drain from Bimal Mishra house to Santoshi Maa temple in ward No.21,Please refer Tender documents. ,NA ,"7,73,256",Civil Works - Others,NA ,Tender,90.0,60.0,Angul,759122.0,NA ,NA ,NA ,"O/O Executive Officer, Angul Municipality",No ,No,1.0,ICICI BANK,Executive Officer,"O/O Executive Officer, Angul Municipality",Municipal Bodies||Angul Municipality,EO/AGLM-08/2023-24,2023_ORULB_90940_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, EMD through online, RC, GST, PAN, Affidavit and other document as per DTCN","4,000",0.0,Nil,Nil,No,"7,750",Yes,fixed,,Nil,Nil,24-Jul-2023 10:00 AM,03-Aug-2023 11:00 AM,24-Jul-2023 10:00 AM,02-Aug-2023 05:00 PM,NA ,NA ,24-Jul-2023 10:00 AM,02-Aug-2023 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2193092,MAHESWAR ROUT,02-Aug-2023 03:40 PM,Rejected-AOC,Unsuccessful,18-Oct-2023 01:30 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2193042,NARAYAN NAYAK,02-Aug-2023 02:43 PM,Accepted-AOC,Successful,18-Oct-2023 01:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
