S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2163774.0,HIKAKA SUBASH,INR,"542,498",Municipal Bodies||Rayagada Municipality,2023_ORULB_89292_2,RGDA-MUN-02/2023-24,Construction of Culvert and Improvement of road with factory made CC interlocking Paver Block at K.C.B road in W.No-06,"Chairperson, Rayagada Municipality",Internal,,Bulu Sethy,13-Oct-2023 05:54 PM,techsummary_439160.pdf (47.99 KB),Finance,All Bids Opened,BIKRAMADITYA MOHAPATRA,25-Jul-2023 11:25 PM,finance_439160.pdf,BOQ Comparative Chart,"Chairperson, Rayagada Municipality",Internal,,Bulu Sethy,13-Oct-2023 05:58 PM,finsummary_439160.pdf (47.99 KB),13-Oct-2023,"INR 542,498",30.0,Bulu Sethy,13-Oct-2023 06:00 PM,ddd.pdf (1693.00 KB),1,2163948,ABHIMANYU NAIK,22-Jun-2023 11:39 AM,Rejected-Finance,Not qualified in the lottery system,13-Oct-2023 05:58 PM,AOC,1.0,ICICI BANK,29-May-2023 11:30 AM,27-Jun-2023 11:30 AM,29-May-2023 11:30 AM,22-Jun-2023 05:30 PM,29-May-2023 11:30 AM ,21-Jun-2023 05:30 PM ,29-May-2023 11:30 AM,22-Jun-2023 05:30 PM,"Executive Officer, Rayagada Municipality","Executive Officer, Rayagada Municipality",1.0,Fee/PreQual/Technical/Finance,.pdf,"CDMS License,BDC,PAN,GSTIN,Paper Cost,EMD,Caste Certificate,Affidavit,Bank A/C as per DTCN","4,000",0.0,Nil,Nil,No,"6,381",Yes,fixed,,Nil,Nil,Construction of Culvert and Improvement of road with factory made CC interlocking Paver Block at K.C.B road in W.No-06,Construction of Culvert and Improvement of road with factory made CC interlocking Paver Block at K.C.B road in W.No-06,Please refer Tender documents. ,NA ,"6,38,136",Civil Works - Roads,NA ,Tender,90.0,30.0,Rayagada,765001.0,NA ,NA ,NA ,Rayagada Municipality,No ,No,Municipal Bodies||Rayagada Municipality,RGDA-MUN-02/2023-24,2023_ORULB_89292_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2165236,ANAM NAIK,22-Jun-2023 03:40 PM,Rejected-Finance,Not qualified in the lottery system,13-Oct-2023 05:58 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2165854,BASANTA PRADHAN,22-Jun-2023 02:44 PM,Rejected-Finance,Not qualified in the lottery system,13-Oct-2023 05:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2166111,DAMBARUDHAR NAIK,22-Jun-2023 04:44 PM,Rejected-Finance,Not qualified in the lottery system,13-Oct-2023 05:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2163774,HIKAKA SUBASH,21-Jun-2023 11:35 PM,Accepted-AOC,Awarded,13-Oct-2023 06:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2165354,KESHABA BATRIA,22-Jun-2023 03:15 PM,Rejected-Finance,Not qualified in the lottery system,13-Oct-2023 05:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2161494,NANDA KISHOR PRASAD CHOURASIA,19-Jun-2023 05:01 PM,Rejected-Finance,Not qualified in the lottery system,13-Oct-2023 05:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2163540,PRADEEPTA DASH,22-Jun-2023 10:40 AM,Rejected-Finance,Not qualified in the lottery system,13-Oct-2023 05:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2164447,RABI NARAYAN MISHRA,20-Jun-2023 06:18 PM,Rejected-Finance,Not qualified in the lottery system,13-Oct-2023 05:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2163031,RASMITA SAHUKAR,19-Jun-2023 08:35 AM,Rejected-Finance,Not qualified in the lottery system,13-Oct-2023 05:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
