Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"Renovation of Aahar Kitchen of Barbil Municipality, ward No.15","Renovation of Aahar Kitchen of Barbil Municipality, ward No.15",Document as per tender Notice ,NA ,"7,80,000",Civil Works - Buildings,NA ,Tender,45.0,50.0,Barbil,758035.0,NA ,NA ,NA ,Barbil Municipality office,No ,No,1.0,Fee/PreQual/Technical,.pdf,Document as per Detail Tender Call Notice,"4,000",0.0,Nil,Nil,No,Executive Officer Barbil Municipality,Executive Officer Barbil Municipality,1.0,ICICI BANK,"7,800",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Barbil Municipality,BBLM-1/2023-24,2023_ORULB_87484_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,18-Apr-2023 10:00 AM,03-May-2023 11:00 AM,18-Apr-2023 10:00 AM,02-May-2023 05:00 PM,NA ,NA ,18-Apr-2023 10:00 AM,02-May-2023 05:00 PM,16-May-2023 09:00 AM,AOC,1.0,2126928.0,BALARAM SAHOO,INR,"661,013.09",Municipal Bodies||Barbil Municipality,2023_ORULB_87484_9,BBLM-1/2023-24,"Renovation of Aahar Kitchen of Barbil Municipality, ward No.15",Laxman mahanta,Internal,"JE,ME,EO,Accountant",Abhishek Panda,15-May-2023 12:46 PM,16-May-2023 09:00 AM,techsummary_433773.pdf (11332.12 KB),Laxman Mahanta,Internal,"AE,ME,EO",Abhishek Panda,12-Oct-2023 12:56 PM,finsummary_433773.pdf (440.44 KB),12-Oct-2023,"INR 661,013.09",45.0,Abhishek Panda,12-Oct-2023 01:01 PM,9w.pdf (220.00 KB),Contact value excluding GST,Technical,open,Abhishek Panda,03-May-2023 05:49 PM,technical_433773.pdf,1,2126928,BALARAM SAHOO,30-Apr-2023 01:11 PM,Accepted-AOC,Lowest,12-Oct-2023 01:01 PM,Finance,Open,Abhishek Panda,20-May-2023 06:42 PM,finance_433773.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2127952,PRADEEP NAIK,02-May-2023 12:17 PM,Rejected-Finance,Second,12-Oct-2023 12:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2127096,Sanjay Naik,01-May-2023 08:21 AM,Rejected-Finance,Third,12-Oct-2023 12:56 PM,,,,,,,AOC
