EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"5,944",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Municipal Bodies||Hindol NAC,HDL NAC-01/2023-24,2023_ORULB_92629_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,22-Aug-2023 11:00 AM,02-Sep-2023 11:00 AM,22-Aug-2023 11:00 AM,01-Sep-2023 05:00 PM,NA ,NA ,22-Aug-2023 11:00 AM,01-Sep-2023 05:00 PM,Construction of Paver Road from Manoranjan Naik res to Karuna Pradhan Res in ward no-13 of Hindol NAC,Construction of Paver Road from Manoranjan Naik res to Karuna Pradhan Res in ward no-13 of Hindol NAC,Please refer Tender documents. ,NA ,"5,94,318",Civil Works - Others,NA ,Tender,210.0,60.0,Hindol NAC,759022.0,NA ,NA ,NA ,Hindol NAC,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"Executive Officer, Hindol NAC","Executive Officer, Hindol NAC",AOC,Executive Officer,Internal,"CP, EO, ME, JE, ACCT",Devi Prasad Das Mohapatra,05-Oct-2023 05:01 PM,finsummary_449972.pdf (502.81 KB),Municipal Bodies||Hindol NAC,2023_ORULB_92629_14,HDL NAC-01/2023-24,Construction of Paver Road from Manoranjan Naik res to Karuna Pradhan Res in ward no-13 of Hindol NAC,1.0,2227177.0,DILIP KUMAR BEHERA PROP M/S SAI RAM FLY ASH BRICKS,INR,"505,283",Finance,k,Devi Prasad Das Mohapatra,05-Oct-2023 04:50 PM,finance_449972.pdf,BOQ Comparative Chart,1,2227177,DILIP KUMAR BEHERA PROP M/S SAI RAM FLY ASH BRICKS,01-Sep-2023 12:48 AM,Accepted-AOC,lottery,11-Oct-2023 11:22 AM,11-Oct-2023,"INR 505,283",60.0,Devi Prasad Das Mohapatra,11-Oct-2023 11:22 AM,14.pdf (92.00 KB),k,Executive Officer,Internal,"CP, EO, ME, JE, ACCT",Devi Prasad Das Mohapatra,05-Oct-2023 04:58 PM,techsummary_449972.pdf (502.81 KB),AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2226014,JITENDRIYA GOCHHAYAT,01-Sep-2023 03:26 AM,Rejected-Technical,Lottery,05-Oct-2023 04:58 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2227510,Krishna Chandra Naik,31-Aug-2023 06:17 PM,Rejected-Technical,Lottery,05-Oct-2023 04:58 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2223763,Laluprasad Sahu,29-Aug-2023 05:04 PM,Rejected-Technical,Lottery,05-Oct-2023 04:58 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2225957,PRAMIL BEHERA,31-Aug-2023 08:46 AM,Rejected-Technical,Lottery,05-Oct-2023 04:58 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2228930,PREMANANDA PATTANAIK,01-Sep-2023 12:48 PM,Rejected-Technical,Lottery,05-Oct-2023 04:58 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2220096,RASANANDA MUDULI,28-Aug-2023 10:53 PM,Rejected-Technical,Lottery,05-Oct-2023 04:58 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2225427,Sadananda Behera,30-Aug-2023 07:53 PM,Rejected-Technical,Lottery,05-Oct-2023 04:58 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2225187,SAROJ KUMAR BHUTIA,30-Aug-2023 09:54 PM,Rejected-Technical,Lottery,05-Oct-2023 04:58 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2223734,SOMANATH SETHI,29-Aug-2023 06:33 PM,Rejected-Technical,Lottery,05-Oct-2023 04:58 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,11,2224763,Tapan Kumar Das,30-Aug-2023 01:00 PM,Rejected-Technical,Lottery,05-Oct-2023 04:58 PM,,,,,,,,,,,,,,AOC
