Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Tender Stage
09-Oct-2023,"INR 5,582,792.02",120.0,Satyajit Jena,11-Oct-2023 09:59 AM,2023_OMC_88143_2.pdf (2919.00 KB),Street light provision for Laxmipur Township in the district of Koraput under PD scheme.,Orissa Mining Corporation,2023_OMC_88143_2,NIT No.19/OMC/CIVIL/2023,Street light provision for Laxmipur Township in the district of Koraput under PD scheme.,R K PANDA,Internal,S P MEHER S K BISWAL J N CHANDRA,Satyajit Jena,01-Jun-2023 02:12 PM,01-Jun-2023 02:15 PM,techsummary_435001.pdf (1344.74 KB),R K PANDA,Internal,J N CHANDRA S K BISWAL S P MEHER,Satyajit Jena,09-Oct-2023 05:23 PM,finsummary_435001.pdf (1644.78 KB),Technical,TECHNICAL BIDS OF ALL 24 BIDDERS WERE OPENED,Durgamadhab Mallik,06-May-2023 10:21 AM,,1.0,2120749.0,R.S. ENTERPRISE,INR,"5,582,792.02",Finance,FINANCIAL BID OF ALL TWENTY FOUR BIDDERS WERE OPENED,Durgamadhab Mallik,01-Jun-2023 02:22 PM,,BOQ Comparative Chart,1,2129039,BHARAT KUMAR SAHOO,03-May-2023 01:14 PM,Rejected-Finance,NOT BEING L-1,09-Oct-2023 05:23 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,SBD,Orissa Mining Corporation,NIT No.19/OMC/CIVIL/2023,2023_OMC_88143_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Street light provision for Laxmipur Township in the district of Koraput under PD scheme.,Street light provision for Laxmipur Township in the district of Koraput under PD scheme.,"RC, EPF Regd., GSTN, PAN, License issued by ELBO, Affidavits, experience, etc. as per DTCN requirements. ",NA ,"65,67,000",Electrical Works,NA ,Tender,180.0,120.0,"LAXMIPUR, KORAPUT",765013.0,NA ,NA ,NA ,"Office of the CGM(C), OMC Ltd., Bhubaneswar",No ,No,19-Apr-2023 05:30 PM,04-May-2023 11:00 AM,19-Apr-2023 05:30 PM,03-May-2023 05:00 PM,NA ,NA ,19-Apr-2023 05:30 PM,03-May-2023 05:00 PM,01-Jun-2023 02:15 PM,"65,700",Yes,fixed,,Nil,Nil,"11,800",0.0,Nil,Nil,Yes,1.0,ICICI BANK,"CGM(C), OMC Ltd.","Office of the CGM(C), OMC Ltd., Bhubaneswar",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2128478,Dinesh Electrical Supplier And Services,02-May-2023 05:34 PM,Rejected-Finance,NOT BEING L-1,09-Oct-2023 05:23 PM,AOC,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2128137,DIVINE ENTERPRISES,02-May-2023 01:17 PM,Rejected-Finance,NOT BEING L-1,09-Oct-2023 05:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2128511,Fusion Power,02-May-2023 06:12 PM,Rejected-Finance,NOT BEING L-1,09-Oct-2023 05:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2128388,Gayatri Agency,02-May-2023 06:22 PM,Rejected-Finance,NOT BEING L-1,09-Oct-2023 05:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2127921,G-ON ENERGY CONTROLS,01-May-2023 11:16 PM,Rejected-Finance,NOT BEING L-1,09-Oct-2023 05:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2126938,Jay Maa Engineering,30-Apr-2023 01:25 PM,Rejected-Finance,NOT BEING L-1,09-Oct-2023 05:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2129077,JUPITER ENGINEERS,03-May-2023 03:01 PM,Rejected-Finance,NOT BEING L-1,09-Oct-2023 05:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2128825,MARUTI CONSTRUCTIONS,03-May-2023 04:29 PM,Rejected-Finance,NOT BEING L-1,09-Oct-2023 05:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2129029,MESSERS BIRAJA ELECTRICAL AND CONSTRUCTION,03-May-2023 01:02 PM,Rejected-Finance,NOT BEING L-1,09-Oct-2023 05:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
