Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1,Fee/PreQual/Technical,.pdf,Tender Document as per Tender call Notice,"4,000",0.0,Nil,Nil,No,Executive Officer Barbil Municipality,Executive Officer Barbil Municipality,"Improvement of road from Manmohan Mahanta house to Lakhin Banra house, Damu hutting, ward No.14 and 15","Improvement of road from Manmohan Mahanta house to Lakhin Banra house, Damu hutting, ward No.14 and 15",Please refer Tender documents. ,NA ,"9,95,000",Civil Works - Roads,NA ,Tender,45.0,45.0,Barbil,758035.0,NA ,NA ,NA ,Barbil Municipality Office,No ,No,"9,950",Yes,percentage,1.0%,Nil,Nil,1,ICICI BANK,Municipal Bodies||Barbil Municipality,4/2023-24,2023_ORULB_92229_32,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,14-Aug-2023 10:00 AM,25-Aug-2023 11:00 AM,14-Aug-2023 10:00 AM,24-Aug-2023 05:00 PM,NA ,NA ,14-Aug-2023 10:00 AM,24-Aug-2023 05:00 PM,30-Aug-2023 05:00 PM,AOC,Technical,Open,Abhishek Panda,25-Aug-2023 06:01 PM,technical_448276.pdf,Municipal Bodies||Barbil Municipality,2023_ORULB_92229_32,4/2023-24,"Improvement of road from Manmohan Mahanta house to Lakhin Banra house, Damu hutting, ward No.14 and 15",Laxman Mahanta,Internal,"AE,ME,EO",Abhishek Panda,09-Oct-2023 03:23 PM,finsummary_448276.pdf (403.04 KB),1.0,2215428.0,PRADEEP NAIK,INR,"964,661.22",09-Oct-2023,"INR 964,661.22",45.0,Abhishek Panda,09-Oct-2023 03:24 PM,32w.pdf (246.00 KB),Contact value excluding GST,1,2214367,GOBINDA CHANDRA MALLICK,23-Aug-2023 05:43 PM,Rejected-Finance,Second,09-Oct-2023 03:23 PM,Laxman mahanta,Internal,"Accountant, ME,EO, AEE PWD",Abhishek Panda,30-Aug-2023 04:40 PM,30-Aug-2023 05:00 PM,techsummary_448276.pdf (3164.24 KB),Finance,Open,Abhishek Panda,31-Aug-2023 09:18 AM,finance_448276.pdf,BOQ Comparative Chart,AOC
2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2215428,PRADEEP NAIK,24-Aug-2023 11:45 AM,Accepted-AOC,Lowest,09-Oct-2023 03:24 PM,,,,,,,,,,,,,,AOC
