Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Documents as per DTCN,"10,000",Nil,Nil,No,Procurement of 2500 MT LDPE Black Polyethylene Films/ Sheets,Procurement of 2500 MT LDPE Black Polyethylene Films/ Sheets,Please refer Tender documents. ,NA ,,Miscellaneous Goods,NA ,Tender,180.0,70.0,Any where in Odisha,751001.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,18-Aug-2023 11:30 AM,14-Sep-2023 11:30 AM,18-Aug-2023 11:30 AM,13-Sep-2023 05:30 PM,NA ,NA ,18-Aug-2023 11:30 AM,13-Sep-2023 05:30 PM,29-Sep-2023 03:30 PM,1.0,ICICI BANK,Special Relief Commissioner,Ground Floor Rajiv Bhawan Bhubaneswar751001,"10,00,000",Yes,fixed,,Nil,Nil,Revenue and Disaster Management Department,4386 / R and DM DT 17.08.2023,2023_RnDM_92599_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Online,No,No,No,AOC,1.0,2236809.0,East Hooghly Poly Plast Pvt. Ltd.,INR,"165,000,000",20-Oct-2023,"INR 330,000,000",70.0,Biswanath Sahoo,20-Oct-2023 11:38 AM,MinutesofNegotiationofOfferedPriceandCapacity.pdf (3197.00 KB),"The L1 price as quoted in the Financial Bid was Rs. 335000000.After negotiation with the two joint L1 bidders, they agreed to the price of Rs. 330000000 per 2500 MT i. e. Rs. 1.32 Lakh per MT",Finance,Financial BId opened for further evaluation.,Shyamal Kumar Das,29-Sep-2023 04:13 PM,,BOQ Comparative Chart,Technical,Tender opened. 13 Bids received,Shyamal Kumar Das,14-Sep-2023 12:16 PM,,Satyabrata Sahu IAS,Internal,Debipriya Biswal Ansuman Mahanti Sidhartha Sankara Acharya Kanhu Charan Ghadai,Biswanath Sahoo,20-Oct-2023 11:25 AM,finsummary_449668.pdf (2868.03 KB),Revenue and Disaster Management Department,2023_RnDM_92599_1,4386 / R and DM DT 17.08.2023,Procurement of 2500 MT LDPE Black Polyethylene Films/ Sheets,1,2238998,Arun Manufacturing Services Pvt Ltd,13-Sep-2023 11:43 AM,Rejected-Finance,Lowest 4,20-Oct-2023 11:25 AM,Dr Gyana Das,Internal,,Biswanath Sahoo,27-Sep-2023 04:14 PM,29-Sep-2023 03:30 PM,techsummary_449668.pdf (311.17 KB),AOC
2.0,Finance,.xls,BoQ Financial BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,2246360.0,PRAGYA POLYMER,INR,"165,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2228996,Bag Poly International Pvt. Ltd.,13-Sep-2023 03:23 PM,Rejected-Finance,Lowest 2,20-Oct-2023 11:25 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2205847,Climax Synthetics Pvt. Ltd.,13-Sep-2023 04:55 PM,Rejected-Technical,Non submission of Completion Certificate as per Tender Clause No 2 of Annexure C of the Tender Document,27-Sep-2023 04:14 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2206091,Dhanshree Agro Poly Product,13-Sep-2023 02:12 PM,Rejected-Finance,Lowest 3,20-Oct-2023 11:25 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2236809,East Hooghly Poly Plast Pvt. Ltd.,13-Sep-2023 04:40 PM,Accepted-AOC,Accepted L1,20-Oct-2023 11:40 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2249726,JIT MULTILAYERS PRIVATE LIMITED,11-Sep-2023 06:06 PM,Rejected-Finance,Lowest 7,20-Oct-2023 11:25 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2249555,MEGAPLAST INDIA PVT LTD,12-Sep-2023 12:00 PM,Rejected-Technical,Non submission of Completion Certificate as per Tender Clause No 2 of Annexure C of the Tender Document,27-Sep-2023 04:14 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2250578,PLASTOMAX PACKAGING SOLUTIONS LLP,13-Sep-2023 01:04 PM,Rejected-Finance,Lowest 9,20-Oct-2023 11:25 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2246360,PRAGYA POLYMER,13-Sep-2023 04:43 PM,Accepted-AOC,Accepted L1,20-Oct-2023 11:40 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2238897,SHALIMAR PLASTIC INDUSTRIES,13-Sep-2023 04:55 PM,Rejected-Finance,Lowest 5,20-Oct-2023 11:25 AM,,,,,,,,AOC
