Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Selection and appointment of Level - II transport contractor for BARGARH MPL for 2023-25,TRANSPORATION OF FOOD GRAIN FORM RRC-CUM-DSCS TO FPS POINT,PLEASE REFER TO DTCN  ,NA ,"17,16,517",Handling and Transportation,NA ,Tender,45.0,365.0,As per Appendix-I,768028.0,"O/o CCSO-Cum-Dist.Manager, OSCSC, Ltd., Bargarh  ","O/o CCSO-Cum-Dist.Manager, OSCSC, Ltd., Bargarh  ",10-Apr-2023 10:00 AM ,"Confernce Hall of Collectortae , Bargarh",No ,No,"5,900",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,NIT,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Baragarh,1976/03.04.2023,2023_OSCSC_87720_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,08-Apr-2023 05:50 PM,15-Apr-2023 03:00 PM,08-Apr-2023 05:50 PM,14-Apr-2023 03:00 PM,NA ,NA ,08-Apr-2023 05:50 PM,14-Apr-2023 03:00 PM,29-Apr-2023 10:00 AM,"CCSO-Cum-Dist.Manager, OSCSC, Ltd., Bargarh","O/o CCSO-Cum-Dist.Manager, OSCSC, Ltd., Bargarh","1,00,000",No,fixed,,Nil,Nil,AOC,"ADM, BARGARH",Internal,RTO BARGARH DSWO BARGARH DLO BARGARH CCSO BARGARH,Dasarathi Soren,27-Apr-2023 11:51 AM,29-Apr-2023 10:00 AM,techsummary_433599.pdf (1382.83 KB),Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Baragarh,2023_OSCSC_87720_1,1976/03.04.2023,Selection and appointment of Level - II transport contractor for BARGARH MPL for 2023-25,1.0,2112355.0,SRI ASHISH PATTNAIK,INR,35.0,Technical,TECHNICAL BID IS OPENED AND BOTH ARE QULIFED FOR FINANCIAL BID,Dasarathi Soren,27-Apr-2023 11:31 AM,technical_433599.pdf,1.0,2112368.0,M/S JAYASINGH BHOI,14-Apr-2023 12:25 PM,Rejected-Finance,2ND LOWEST BIDDER,16-Oct-2023 04:00 PM,Finance,Proceeding of Level - II Transport Contractor for Bargarh MPL,Dasarathi Soren,13-Oct-2023 10:10 AM,finance_433599.pdf,BOQ Comparative Chart,ADM BARGARH,Internal,DLO BARGARH DSWO BARGARH RTO BARGARH CCSO BARGARH,Dasarathi Soren,16-Oct-2023 04:00 PM,finsummary_433599.pdf (635.86 KB),16-Oct-2023,INR 35,365.0,Dasarathi Soren,16-Oct-2023 04:32 PM,ashisbghmpl.pdf (559.00 KB),Lowest Bidder Ashis Kumar Pattnaik selected as Level - II Transport Contractor for Bargarh MPL,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,2112355.0,SRI ASHISH PATTNAIK,13-Apr-2023 12:03 PM,Accepted-AOC,LOWEST BIDDER,16-Oct-2023 04:33 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
