S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-I_No4/2023-24,2023_ORULB_88836_57,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST AND EMD ONLINE,VAT, PAN, EPF REGISTRATION AND GST-IN CERTIFICATE OTHER DOCUMENTS","Executive Engineer,Div-I","At Bikash Bhawan, Jagannathlane Badambadi, Dist Cuttack, Pin-753012",16-May-2023 03:00 PM,30-May-2023 11:00 AM,16-May-2023 03:00 PM,25-May-2023 05:00 PM,16-May-2023 03:00 PM ,25-May-2023 05:00 PM ,16-May-2023 03:00 PM,25-May-2023 05:00 PM,Casting and providing different sizes of precast R.C.C. slabs to be covered over the open drain at different places in Ward No. 30.,Casting and providing different sizes of precast R.C.C. slabs to be covered over the open drain at different places in Ward No. 30.,Please refer Tender documents. ,NA ,"18,81,600",Civil Works - Others,NA ,Tender,90.0,90.0,CMC,753012.0,NA ,NA ,NA ,"At Bikash Bhawan, Jagannathlane",No ,No,"18,800",Yes,fixed,,Nil,Nil,AOC,Executive Engineer,Internal,Asst. Executive Engineer,Nanda Kishor Pal,12-Oct-2023 05:06 PM,finsummary_437879.pdf (392.02 KB),Municipal Bodies||Cuttack Municipal Corporation,2023_ORULB_88836_57,MC(CMC)CTC_Div-I_No4/2023-24,Casting and providing different sizes of precast R.C.C. slabs to be covered over the open drain at different places in Ward No. 30.,1.0,2146837.0,SRI. PABITRA ROUT,INR,"1,844,185",Finance,One bidder participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidder to be verified.,Dhirendra Kumar Pradhan,06-Jun-2023 06:04 PM,finance_437879.pdf,BOQ Comparative Chart,1.0,2146837.0,SRI. PABITRA ROUT,25-May-2023 04:24 PM,Accepted-AOC,accepted,12-Oct-2023 05:08 PM,12-Oct-2023,"INR 1,844,185",90.0,Nanda Kishor Pal,12-Oct-2023 05:07 PM,6511PW.pdf (76.00 KB),Work order,Executive Engineer,Internal,Asst. Executive Engineer,Nanda Kishor Pal,12-Oct-2023 05:03 PM,techsummary_437879.pdf (392.02 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
