S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2152898.0,M/S KANTHAMANI SETHY,INR,"1,403,600",Finance,BIDS OF M/S KANTHAMANI SETHY AND CHITTARANJAN SETHY HAVE BEEN ADMITTED.,Kahnu Charan Dhir,13-Jun-2023 10:00 AM,finance_438967.pdf,BOQ Comparative Chart,EO,Internal,"CP, EO, ME, JE, HA and Accountant",Lagnajit Rout,05-Oct-2023 01:41 PM,finsummary_438967.pdf (336.84 KB),Municipal Bodies||Paradeep Municipality,2023_ORULB_89244_11,EO/PDPM/W_01/2023-24,"Construction of drain from Gita Patra house to CT Lokanath Colony, Gita Patra house to Laxmi Das house, Punilata barik house to CT, CT Mundapada to Gulap Singh house in Ward No. 08",EO,Internal,"CP, EO, ME, JE, HA and Accountant",Lagnajit Rout,05-Oct-2023 01:37 PM,techsummary_438967.pdf (336.84 KB),1,2153436,CHITTARANJAN SETHY,03-Jun-2023 03:01 PM,Rejected-Finance,"Quoted eleven percent excess, hence L2",05-Oct-2023 01:40 PM,05-Oct-2023,"INR 1,403,600",60.0,Lagnajit Rout,05-Oct-2023 01:45 PM,50047.pdf (739.00 KB),Work value includes Excess five percent and GST,AOC,"EO, Paradeep Municipality",Paradeep Municipality,"Construction of drain from Gita Patra house to CT Lokanath Colony, Gita Patra house to Laxmi Das house, Punilata barik house to CT, CT Mundapada to Gulap Singh house in Ward No. 08","Construction of drain from Gita Patra house to CT Lokanath Colony, Gita Patra house to Laxmi Das house, Punilata barik house to CT, CT Mundapada to Gulap Singh house in Ward No. 08",Please refer Tender documents. ,NA ,"11,22,147",Civil Works - Others,NA ,Tender,90.0,60.0,Paradeep Municipality,754142.0,NA ,NA ,NA ,Paradeep Municipality,No ,No,"11,221",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Paradeep Municipality,EO/PDPM/W_01/2023-24,2023_ORULB_89244_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,25-May-2023 05:00 PM,06-Jun-2023 11:00 AM,25-May-2023 05:00 PM,03-Jun-2023 05:00 PM,25-May-2023 05:00 PM ,03-Jun-2023 05:00 PM ,25-May-2023 05:00 PM,03-Jun-2023 05:00 PM,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender documents,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2152898,M/S KANTHAMANI SETHY,03-Jun-2023 04:55 PM,Accepted-AOC,Work value includes excess five percent and GST,05-Oct-2023 01:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.xls,BoQ,AOC
