Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Technical,All bidders are admitted for technical evaluation,sudhakar sabaro,08-Sep-2023 06:06 PM,,Finance,All bidders are admitted for financial evaluation,sudhakar sabaro,06-Oct-2023 12:32 PM,,13-Oct-2023,INR 12.86,595.0,sudhakar sabaro,13-Oct-2023 04:16 PM,AbstractRoad.pdf,MANAGING DIRECTOR,Internal,,sudhakar sabaro,06-Oct-2023 01:02 PM,finsummary_449139.pdf,Managing Director,Internal,,sudhakar sabaro,08-Sep-2023 06:10 PM,11-Sep-2023 03:30 PM,techsummary_449139.pdf,Odisha State Civil Supplies Corp. Ltd.,2023_OSCSC_92486_2,No.12085/P-II/91/2023/PDS Dt.16.08.2023,selection and appointment of transport contractors for inter-district transportation of Custom Milled Rice (CMR) from source district Sambalpur to recipient district Mayurbhanj in the State of Odisha,AOC,17-Aug-2023 10:00 AM,01-Sep-2023 11:00 AM,17-Aug-2023 10:00 AM,31-Aug-2023 05:00 PM,NA ,NA ,17-Aug-2023 10:00 AM,31-Aug-2023 05:00 PM,11-Sep-2023 03:30 PM,selection and appointment of transport contractors for inter-district transportation of Custom Milled Rice (CMR) from source district Sambalpur to recipient district Mayurbhanj in the State of Odisha,selection and appointment of transport contractors for inter-district transportation of Custom Milled Rice (CMR) from source district Sambalpur to recipient district Mayurbhanj in the State of Odisha,Please refer Tender documents. ,NA ,,Handling and Transportation,NA ,Tender,45.0,595.0,"OSCSC LTD, C/2 NAYAPALLI BHUBANESWAR",751012.0,NA ,NA ,NA ,CONFERENCE HALL OSCSC LTD,No ,No,"2,45,000",No,fixed,,Nil,Nil,1,ICICI BANK,1,Fee/PreQual/Technical,.pdf,Required document as per DTCN,590.0,0.0,Nil,Nil,No,Odisha State Civil Supplies Corp. Ltd.,No.12085/P-II/91/2023/PDS Dt.16.08.2023,2023_OSCSC_92486_2,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,MANAGING DIRECTOR,"OSCSC LTD, C/2 NAYAPALLI BHUBANESWAR-751012",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,2,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,AOC
