Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"2,000",0.0,Nil,Nil,No,24-Aug-2023 06:55 PM,04-Sep-2023 12:00 PM,24-Aug-2023 06:55 PM,04-Sep-2023 11:00 AM,24-Aug-2023 06:55 PM ,02-Sep-2023 05:00 PM ,24-Aug-2023 06:55 PM,04-Sep-2023 11:00 AM,"3,617",Yes,percentage,1.0%,Nil,Nil,EXECUTIVE OFFICER PATTAMUNDAI MUNICIPALITY,PATTAMUNDAI,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Document as per DTCN,Municipal Bodies||Pattamundai Municipality,PM_03/2023-24,2023_ORULB_92942_28,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,Construction of Paver Block Road from Municipality road to Jena house House In Ward No - 05,Construction of Paver Block Road from Municipality road to Jena house House In Ward No - 05,Please refer Tender documents. ,NA ,"3,61,715",Civil Works - Others,NA ,Tender,90.0,60.0,PATTAMUNDAI,754215.0,NA ,NA ,NA ,Pattamundai Municipality,No ,No,AOC,1,2231054,Mr.Paresh Chandra Jena,02-Sep-2023 12:39 PM,Rejected-AOC,L2,20-Oct-2023 12:47 PM,20-Oct-2023,"INR 425,757",60.0,Ajit Narayanprasad Giri,20-Oct-2023 12:45 PM,AOC.pdf (103.00 KB),HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,20-Oct-2023 12:41 PM,techsummary_453380.pdf (82.03 KB),Municipal Bodies||Pattamundai Municipality,2023_ORULB_92942_28,PM_03/2023-24,Construction of Paver Block Road from Municipality road to Jena house House In Ward No - 05,HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,20-Oct-2023 12:44 PM,finsummary_453380.pdf (79.69 KB),Finance,ok,Ajit Narayanprasad Giri,08-Sep-2023 05:02 PM,,BOQ Comparative Chart,1.0,2229131.0,M/S Zanjali Construction,INR,"425,757",AOC
,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,2,2229131,M/S Zanjali Construction,01-Sep-2023 07:25 PM,Accepted-AOC,the bidder quoted lowest rate than other bidders,20-Oct-2023 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
