Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Odisha Tourism Devl. Corp.,2023_OTDC_90420_5,BP -I/02/2023-24Dt.21.06.2023,Renovation and Upgradation of Way Side Amenity Centre at Rairakhol in Sambalpur Dist.,S.K. Behera,Internal,R.K.PaleIA.S. SWAINA.RATH.SPRADHAN,Sunil Kumar Behera,10-Oct-2023 06:58 PM,finsummary_443000.pdf (1275.55 KB),1.0,2180809.0,M/S SILICON INTERIORS,INR,"2,555,952",10-Oct-2023,"INR 2,555,952",90.0,Sunil Kumar Behera,10-Oct-2023 07:00 PM,Rairkhol.pdf (1276.00 KB),Renovation and Upgradation of Way Side Amenity Centre at Rairakhol in Sambalpur Dist.,S.K. Behera,Internal,R.K.PaleIA.S. SWAINA.RATH.SPRADHAN,Sunil Kumar Behera,10-Aug-2023 01:33 PM,techsummary_443000.pdf (2806.62 KB),1,2179086,BABULA KAANRA,17-Jul-2023 02:00 PM,Rejected-AOC,Fulfilled eligibility criteria,10-Oct-2023 07:01 PM,Finance,Proceeding,Sunil Kumar Behera,10-Aug-2023 01:31 PM,finance_443000.pdf,BOQ Comparative Chart,AOC,Odisha Tourism Devl. Corp.,BP -I/02/2023-24Dt.21.06.2023,2023_OTDC_90420_5,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender, EMD, Contractor Registration License, Pan card, Affidative, GST work experience cert",06-Jul-2023 12:15 PM,20-Jul-2023 11:30 AM,06-Jul-2023 12:15 PM,19-Jul-2023 05:00 PM,NA ,NA ,06-Jul-2023 12:15 PM,19-Jul-2023 05:00 PM,"6,000","1,080",Nil,Nil,No,Superintending Engineer(I/C) O.T.D.C Ltd,Superintending Engineer(I/C) O.T.D.C Ltd Lewis road Bhubaneswar.,"25,480",Yes,percentage,1.0%,Nil,Nil,Renovation and Upgradation of Way Side Amenity Centre at Rairakhol in Sambalpur Dist.,Renovation and Upgradation of Way Side Amenity Centre at Rairakhol in Sambalpur Dist.,Please refer Tender documents. ,NA ,"25,48,000",Civil Works - Others,NA ,Tender,90.0,90.0,Rairakhol in Sambalpur Dist.,768106.0,NA ,NA ,NA ,Superintending Engineer(I/C) O.T.D.C Ltd,No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2180090,CHANDAN SAHOO,18-Jul-2023 05:04 PM,Rejected-AOC,Fulfilled eligibility criteria,10-Oct-2023 07:01 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2180216,DILLIP KUMAR BEHERA,19-Jul-2023 01:25 PM,Rejected-AOC,Fulfilled eligibility criteria,10-Oct-2023 07:01 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2181176,HEMANTA KUMAR SAMAL,19-Jul-2023 02:58 PM,Rejected-AOC,Fulfilled eligibility criteria,10-Oct-2023 07:01 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2180809,M/S SILICON INTERIORS,19-Jul-2023 12:00 PM,Accepted-AOC,Fulfilled eligibility criteria,10-Oct-2023 07:01 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2181309,N GOPAL KRISHNA,19-Jul-2023 04:34 PM,Rejected-AOC,Fulfilled eligibility criteria,10-Oct-2023 07:01 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2179932,SANTANU KUMAR PRADHAN,18-Jul-2023 02:51 PM,Rejected-AOC,Fulfilled eligibility criteria,10-Oct-2023 07:01 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
