Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage
ASHOK KUMAR MOHANTY,Internal,"GARIBA DEEP,RAJIB LOCHAN PODH,SARAT KUMAR SAHOO",Garib Deep,10-Oct-2023 06:19 AM,techsummary_457933.pdf (1340.08 KB),10-Oct-2023,"INR 1,055,420.947",45.0,Garib Deep,10-Oct-2023 04:10 PM,technical.pdf (1340.00 KB),1,2249057,PALLY SHREE SAHOO,12-Sep-2023 01:15 PM,Rejected-Finance,by the tender committee,10-Oct-2023 04:10 PM,Finance,Technical Evaluation,Sarat Kumar Sahoo,09-Oct-2023 02:58 PM,finance_457933.pdf,BOQ Comparative Chart,1.0,2245435.0,TOPHAN BAG,INR,"1,055,420.947",Municipal Bodies||Dharmagarh NAC,2023_ORULB_93685_18,DHM/06/2023-24,CONSTRUCTION OF PAVER ROAD FROM NH 130 TO KK NIVAS IN WARD NO 11,ASHOK KUMAR MOHANTY,Internal,"GARIBA DEEP, RAJIB LOCHAN PODH, SARAT KUMAR SAHOO",Garib Deep,10-Oct-2023 04:10 PM,finsummary_457933.pdf (1340.08 KB),AOC,"EXECUTIVE OFFICER, DHARMAGARH NAC",DHARMAGARH NAC,CONSTRUCTION OF PAVER ROAD FROM NH 130 TO KK NIVAS IN WARD NO 11,CONSTRUCTION OF PAVER ROAD FROM NH 130 TO KK NIVAS IN WARD NO 11,Please refer Tender documents. ,NA ,"12,41,525",Civil Works - Roads,NA ,Tender,90.0,45.0,DHARMAGARH NAC,766015.0,NA ,NA ,NA ,DHARMAGARH NAC,No ,No,Municipal Bodies||Dharmagarh NAC,DHM/06/2023-24,2023_ORULB_93685_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1,ICICI BANK,"12,415",Yes,fixed,,Nil,Nil,02-Sep-2023 04:00 PM,13-Sep-2023 10:00 AM,02-Sep-2023 04:00 PM,12-Sep-2023 05:00 PM,NA ,NA ,02-Sep-2023 04:00 PM,12-Sep-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GST, REGISTRATION CERTIFICATE, AND OTHER DOCUMENT AS PER DTCN",AOC
,,,,,,,,,,,,2,2245435,TOPHAN BAG,12-Sep-2023 12:31 PM,Accepted-AOC,by the tender committee,10-Oct-2023 04:11 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
