Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-DD-13/2023-24 dtd.04.08.2023,2023_ORULB_91733_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,05-Aug-2023 10:30 AM,22-Aug-2023 11:00 AM,05-Aug-2023 10:30 AM,21-Aug-2023 05:00 PM,NA ,NA ,05-Aug-2023 10:30 AM,21-Aug-2023 05:00 PM,1,ICICI BANK,"SE, Drainage Division,BMC","SE, Drainage Division,BMC",Repair and renovation of drain with cover slab at Laxmi Temple towards Health village in ward no 27,Repair and renovation of drain with cover slab at Laxmi Temple towards Health village in ward no 27,As per DTCN ,NA ,"21,18,644",Civil Works - Others,NA ,Tender,120.0,90.0,BMC area limited,751007.0,NA ,NA ,NA ,"SE, Drainage Chamber",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Scan Copy of all Documents,"21,186",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,AOC,Municipal Bodies||Bhubaneswar Municipal Corporation,2023_ORULB_91733_5,BMC-EE-DD-13/2023-24 dtd.04.08.2023,Repair and renovation of drain with cover slab at Laxmi Temple towards Health village in ward no 27,1.0,2209665.0,PRATIVA TRADING AND CONSTRUCTION,INR,"2,570,000",Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Goutam Chandra Das,06-Oct-2023 02:39 PM,techsummary_446462.pdf (111.27 KB),06-Oct-2023,"INR 2,570,000",90.0,Goutam Chandra Das,06-Oct-2023 02:48 PM,WO-318.23.pdf (318.00 KB),Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Goutam Chandra Das,06-Oct-2023 02:43 PM,finsummary_446462.pdf (111.26 KB),Finance,2 bids opened successfully,Goutam Chandra Das,22-Aug-2023 02:46 PM,finance_446462.pdf,BOQ Comparative Chart,1,2209565,NIHARIKA JENA,21-Aug-2023 04:06 PM,Rejected-Finance,other than 1st lowest,06-Oct-2023 02:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2209665,PRATIVA TRADING AND CONSTRUCTION,21-Aug-2023 04:44 PM,Accepted-AOC,1st lowest,06-Oct-2023 02:49 PM,AOC
