Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,2023_OSPHW_91734_4,15/OPHWC/2023-24,"Constn. of Fortified Police Station Building at Karlapat, Kalahandi",1.0,2205835.0,Pramod Kumar Das,INR,"22,653,775",AS PER TC MINUTES,Internal,AS PER TC MINUTES,DURGA CHARANA MISHRA,01-Sep-2023 08:15 PM,02-Sep-2023 11:00 AM,techsummary_446470.pdf (318.08 KB),13-Oct-2023,"INR 22,653,775",300.0,Bikram Keshari Malla,13-Oct-2023 04:59 PM,WWW.pdf (658.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 30.09.2023,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,13-Oct-2023 04:56 PM,finsummary_446470.pdf (691.86 KB),Finance,comparative generated and financial bid open,Bikram Keshari Malla,02-Sep-2023 11:48 AM,,BOQ Comparative Chart,1.0,2205835.0,Pramod Kumar Das,18-Aug-2023 02:39 PM,Accepted-AOC,QUALIFIED BIDDER,13-Oct-2023 04:59 PM,Technical,SINGLE BIDDER HAS PARTICIPATED,Bikram Keshari Malla,19-Aug-2023 11:41 AM,,AOC,04-Aug-2023 05:00 PM,19-Aug-2023 11:00 AM,04-Aug-2023 05:00 PM,18-Aug-2023 05:00 PM,04-Aug-2023 05:00 PM ,08-Aug-2023 05:00 PM ,04-Aug-2023 05:00 PM,18-Aug-2023 05:00 PM,02-Sep-2023 11:00 AM,"2,19,900",Yes,fixed,,Nil,Nil,Orissa State Police Housing and Welfare Corporation Ltd,15/OPHWC/2023-24,2023_OSPHW_91734_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","Constn. of Fortified Police Station Building at Karlapat, Kalahandi",Building Work,Please refer Tender documents  ,NA ,"2,19,93,956",Civil Works - Buildings,NA ,Tender,90.0,300.0,Kalahandi,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,"11,800",0.0,Nil,Nil,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
