Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
"Collector,Kandhamal and Chairman.",Internal,"DSWOKANDHAMAL,RTOKANDHAMAL,DLOKANDHAMAL AND CSOKANDHAMAL.",Prafulla Kumar Sabat,02-Oct-2023 01:58 PM,finsummary_435826.pdf (1249.10 KB),02-Oct-2023,INR 1.17,730.0,Prafulla Kumar Sabat,02-Oct-2023 02:49 PM,1457.pdf (855.00 KB),"The bidder found lowest bid and also agreed to work at 1.170 before the Committee on negotiation. Further MD,OSCSC Ltd., Bhubaneswar approved the price @ 1.170.",1.0,2139030.0,BRAJA KISHOR MISHRA,15-May-2023 04:43 PM,Rejected-Finance,"Both the bid price and the negotiation price are higher than the lowest bid, the Committee consider the bid as 2nd rank. Hence rejected.",02-Oct-2023 01:58 PM,Technical,The uploaded documents furnished by the bidders were verified with originals ones and produced before the Committee and were found genuine.,Anath Charan Swain,08-Jun-2023 07:10 PM,technical_435826.pdf,Finance,THE COMMITTEE ADMITTED THE BIDS QUOTED BY BOTH THE BIDDERS.,Prafulla Kumar Sabat,02-Oct-2023 01:07 PM,finance_435826.pdf,BOQ Comparative Chart,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Kandhamala,2023_OSCSC_88405_1,650_2,"UNIT-DARINGBADI BLOCK, APPOINTMENT OF L-2 TC FOR DARINGBADI BLOCK OF KANDHAMAL DISTRICT FOR THE TERM 2023-25",1.0,2138799.0,MANOJ KUMAR TRIPATHY,INR,1.17,COLLECTOR KANDHAMAL,Internal,"DLO,DSWO,RTO, CSO, KANDHAMAL",Anath Charan Swain,08-Jun-2023 07:59 PM,16-Jun-2023 10:00 AM,techsummary_435826.pdf (835.31 KB),AOC,"5,900",0.0,Nil,Nil,No,"UNIT-DARINGBADI BLOCK, APPOINTMENT OF L-2 TC FOR DARINGBADI BLOCK OF KANDHAMAL DISTRICT FOR THE TERM 2023-25","UNIT-DARINGBADI BLOCK, APPOINTMENT OF L-2 TC FOR TRANSPORTATION OF CMR FROM RRC TO FPS POINTS OF DARINGBADI BLOCK OF KANDHAMAL DISTRICT FOR THE TERM 2023-25",Please refer to Tender document. ,NA ,,Handling and Transportation,Transportation ,Tender,45.0,730.0,KANDHAMAL,762001.0,NA ,NA ,NA ,"Conference Hall of Collectorate, Phulbani",No ,No,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Kandhamala,650_2,2023_OSCSC_88405_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,"D.M., OSCSC Ltd., Kandhamal","O/o the D.M., OSCSC Ltd., Kandhamal, Collectorate, Phulbani","1,00,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,26-Apr-2023 09:00 AM,17-May-2023 10:50 AM,26-Apr-2023 09:30 AM,16-May-2023 05:00 PM,26-Apr-2023 10:00 AM ,28-Apr-2023 09:30 AM ,28-Apr-2023 01:00 PM,16-May-2023 05:00 PM,16-Jun-2023 10:00 AM,AOC
,,,,,,,,,,,,,2.0,2138799.0,MANOJ KUMAR TRIPATHY,15-May-2023 05:05 PM,Accepted-AOC,"The bidder found lowest bid and also agreed to work at 1.170 before the Committee on negotiation. Further MD,OSCSC Ltd., Bhubaneswar approved the price @ 1.170",02-Oct-2023 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC
