S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,Water Supply and Sanitary Installation to Community Center near Durga Mandap at Old Bus-Stand W No.5 NAC Binka,Water Supply and Sanitary Installation to Community Center near Durga Mandap at Old Bus-Stand W No.5 NAC Binka,Please refer Tender documents. ,NA ,"80,175",Civil Works - Others,NA ,Tender,120.0,30.0,BINKA,767019.0,NA ,NA ,NA ,NAC BINKA,No ,No,Municipal Bodies||Binka NAC,BINKA-NAC-01/2023-24,2023_ORULB_88771_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EXECUTIVE OFFICER NAC BINKA,NAC OFFICE BINKA,400.0,0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,ALL DOCUMENTS AS PER DTCN,900.0,Yes,fixed,,Nil,Nil,09-May-2023 11:00 AM,18-May-2023 11:00 AM,09-May-2023 11:00 AM,17-May-2023 05:00 PM,09-May-2023 11:00 AM ,17-May-2023 05:00 PM ,09-May-2023 11:00 AM,17-May-2023 05:00 PM,AOC,09-Oct-2023,"INR 80,175",30.0,Satya Narayan Pradhan,13-Oct-2023 12:38 PM,24.pdf (707.00 KB),OK,1,2140961,Manoj Kumar Panda,17-May-2023 03:09 PM,Accepted-AOC,SELECTED,13-Oct-2023 12:38 PM,CHAIRPERSON NAC BINKA,Internal,MUNICIPAL ENGINEER JUNIOR ENGINEER ACCOUNTANT,Satya Narayan Pradhan,04-Sep-2023 01:08 PM,techsummary_437137.pdf (388.19 KB),Municipal Bodies||Binka NAC,2023_ORULB_88771_24,BINKA-NAC-01/2023-24,Water Supply and Sanitary Installation to Community Center near Durga Mandap at Old Bus-Stand W No.5 NAC Binka,CHAIRPERSON NAC BINKA,Internal,MUNICIPAL ENGINEER JUNIOR ENGINEER ACCOUNTANT,Satya Narayan Pradhan,04-Sep-2023 01:09 PM,finsummary_437137.pdf (388.19 KB),Finance,BIDS HAVE BEEN OPENED,Mukteswar Panigrahi,20-May-2023 10:12 AM,finance_437137.pdf,BOQ Comparative Chart,1.0,2140961.0,Manoj Kumar Panda,INR,"80,175",AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,AOC,,,,,,,,2,2141529,SAMUGA NAIKEL,17-May-2023 04:19 PM,Rejected-AOC,NOT SELECTED,13-Oct-2023 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
