Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Construction of Drain and Culvert from Banmali Nanda house Canal to Dilip Meher house in Ward No.12., N.A.C.,Junagarh.","Construction of Drain and Culvert from Banmali Nanda house Canal to Dilip Meher house in Ward No.12., N.A.C.,Junagarh.",Please refer Tender documents. ,NA ,"15,14,440",Civil Works - Others,NA ,Tender,90.0,60.0,WARD NO 12,766014.0,NA ,NA ,NA ,O/o-NAC Junagarh,No ,No,1,ICICI BANK,24-Feb-2023 10:00 AM,09-Mar-2023 11:00 AM,24-Feb-2023 10:00 AM,06-Mar-2023 05:00 PM,NA ,NA ,24-Feb-2023 10:00 AM,06-Mar-2023 05:00 PM,"6,000",0.0,Nil,Nil,No,"Executive Officer,NAC Junagarh","NAC Office Junagarh Kalahandi,Odisha Pin-766014","15,144",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"GST Certificate,PAN,Affidavit,Cost of Tender Paper,EMD and other documents as per DTCN",Municipal Bodies||Junagarh NAC,JUNAGARH/NAC/02/2022-23,2023_ORULB_86467_20,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,1,2094443,ANKIT KUMAR SAHOO,06-Mar-2023 11:51 AM,Accepted-AOC,L1,10-Oct-2023 11:01 PM,25-Sep-2023,"INR 1,509,896.57",60.0,Premlal Hial,10-Oct-2023 11:00 PM,jng.pdf (226.00 KB),As per the tender committee.,CHAIRPERSON NAC JUNAGARH,Internal,,Premlal Hial,24-Sep-2023 05:31 PM,techsummary_429836.pdf (448.40 KB),As per the tender committee.,Internal,,Bira Singh Biroli,24-Sep-2023 09:40 PM,finsummary_429836.pdf (448.65 KB),Municipal Bodies||Junagarh NAC,2023_ORULB_86467_20,JUNAGARH/NAC/02/2022-23,"Construction of Drain and Culvert from Banmali Nanda house Canal to Dilip Meher house in Ward No.12., N.A.C.,Junagarh.",1.0,2094443.0,ANKIT KUMAR SAHOO,INR,"1,509,896.57",Finance,ok,Biswambhar Mishra,09-Mar-2023 05:57 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,AOC,2,2095790,SURYA NARAYAN PANDA,06-Mar-2023 01:13 PM,Rejected-Finance,As per the tender committee.,24-Sep-2023 09:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
