Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"6,000",0.0,Nil,Nil,No,18-Aug-2023 03:00 PM,25-Aug-2023 11:00 AM,18-Aug-2023 03:00 PM,24-Aug-2023 05:00 PM,NA ,NA ,18-Aug-2023 03:00 PM,24-Aug-2023 05:00 PM,EO,Basudevpur Municipality,Municipal Bodies||Basudevpur Municipality,BSP-01-2023-24,2023_ORULB_92636_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"14,558",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Construction of Main cc road inside dump yard,Construction of Main cc road inside dump yard,Please refer Tender documents. ,NA ,"14,55,781",Civil Works - Roads,NA ,Tender,90.0,45.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,AOC,03-Oct-2023,"INR 1,474,924",45.0,Manas Kumar Dandapat,03-Oct-2023 01:15 PM,UMAKANTA22.pdf (481.00 KB),ok,1,2216233,Basanti Sahoo,24-Aug-2023 02:11 PM,Accepted-AOC,ok,03-Oct-2023 01:17 PM,Nibedita Behera,Internal,Executive Officer,Manas Kumar Dandapat,26-Sep-2023 12:28 PM,techsummary_449896.pdf (3420.85 KB),Municipal Bodies||Basudevpur Municipality,2023_ORULB_92636_13,BSP-01-2023-24,Construction of Main cc road inside dump yard,NIBEDITA BEHERA,Internal,"EO,ME,JE,ACCT",Manas Kumar Dandapat,26-Sep-2023 01:41 PM,finsummary_449896.pdf (3420.85 KB),Finance,ok,Prashanta Nayak,26-Aug-2023 08:42 PM,finance_449896.pdf,BOQ Comparative Chart,1,2209085,CHINMAYA SETHI,INR,"1,474,924",AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2215796,BIJAYA KUMAR PATI,24-Aug-2023 02:22 PM,Accepted-AOC,ok,03-Oct-2023 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,2,2209104,Radhakrushna Sethi,INR,"1,474,924",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2216382,CHANDAN KUMAR SETHI,24-Aug-2023 03:00 PM,Accepted-AOC,ok,03-Oct-2023 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,3,2211520,Rabindra Kumar Chand,INR,"1,474,924",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2209085,CHINMAYA SETHI,21-Aug-2023 12:59 PM,Accepted-AOC,ok,03-Oct-2023 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,4,2211631,Ratikanta Mallick,INR,"1,474,924",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2214986,DEBENDRA KUMAR DAS,23-Aug-2023 08:56 PM,Accepted-AOC,ok,03-Oct-2023 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,5,2211917,NIYATI MISHRA,INR,"1,474,924",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2215897,DEEPAK RANJAN NAYAK,24-Aug-2023 01:50 PM,Accepted-AOC,ok,03-Oct-2023 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,6,2212101,SASHIKANTA SETHI(S.C),INR,"1,474,924",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2216618,GANGADHAR SAMAL,24-Aug-2023 04:14 PM,Accepted-AOC,ok,03-Oct-2023 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,7,2212133,Kamala Kanta Das,INR,"1,474,924",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2212133,Kamala Kanta Das,22-Aug-2023 05:37 PM,Accepted-AOC,ok,03-Oct-2023 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,8,2212301,TAPAS KUMAR MOHANTY,INR,"1,474,924",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2213794,KAUSHALYA SAMAL(S.C),23-Aug-2023 02:24 PM,Accepted-AOC,ok,03-Oct-2023 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,9,2213773,Maheswar Sethi,INR,"1,474,924",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2213773,Maheswar Sethi,23-Aug-2023 03:12 PM,Accepted-AOC,ok,03-Oct-2023 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,10,2213794,KAUSHALYA SAMAL(S.C),INR,"1,474,924",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,11,2211917,NIYATI MISHRA,22-Aug-2023 05:22 PM,Accepted-AOC,ok,03-Oct-2023 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,11,2214423,Pradeep Kumar Das,INR,"1,474,924",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,12,2214423,Pradeep Kumar Das,23-Aug-2023 05:45 PM,Accepted-AOC,ok,03-Oct-2023 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,12,2214986,DEBENDRA KUMAR DAS,INR,"1,474,924",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,13,2215489,PRAKASH CHANDRA SETHI,24-Aug-2023 10:41 AM,Accepted-AOC,ok,03-Oct-2023 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,13,2215489,PRAKASH CHANDRA SETHI,INR,"1,474,924",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,14,2211520,Rabindra Kumar Chand,22-Aug-2023 01:56 PM,Accepted-AOC,ok,03-Oct-2023 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,14,2215796,BIJAYA KUMAR PATI,INR,"1,474,924",AOC
