S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Affidavit registration certificate labour license etc all other docs as per DTCN,Municipal Bodies||Binka NAC,BINKA-NAC-02/2023-24,2023_ORULB_92933_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,24-Aug-2023 11:00 AM,02-Sep-2023 11:00 AM,24-Aug-2023 11:00 AM,01-Sep-2023 05:00 PM,24-Aug-2023 11:00 AM ,01-Sep-2023 05:00 PM ,24-Aug-2023 11:00 AM,01-Sep-2023 05:00 PM,"Construction of C.C. Paver block road from Main road to Rajiv Bagh house, w.no.08","Construction of C.C. Paver block road from Main road to Rajiv Bagh house, w.no.08",Please refer Tender documents. ,NA ,"1,22,397",Civil Works - Roads,NA ,Tender,120.0,60.0,NAC BINKA,767019.0,NA ,NA ,NA ,NAC BINKA,No ,No,"1,250",Yes,fixed,,Nil,Nil,600.0,0.0,Nil,Nil,No,EXECUTIVE OFFICER NAC BINKA,NAC OFFICE CAMPUS BINKA,AOC,1,2225509,DEBANTA KARNA,01-Sep-2023 11:21 AM,Accepted-AOC,SELECTED,17-Oct-2023 04:41 PM,15-Sep-2023,"INR 104,050",60.0,Satya Narayan Pradhan,17-Oct-2023 04:40 PM,14.pdf (800.00 KB),OK,CHAIRPERSON NAC BINKA,Internal,MUNICIPAL ENGINEER JUNIOR ENGINEER ACCOUNTANT,Satya Narayan Pradhan,13-Sep-2023 12:41 PM,techsummary_452757.pdf (308.66 KB),Municipal Bodies||Binka NAC,2023_ORULB_92933_14,BINKA-NAC-02/2023-24,"Construction of C.C. Paver block road from Main road to Rajiv Bagh house, w.no.08",CHAIRPERSON NAC BINKA,Internal,MUNICIPAL ENGINEER JUNIOR ENGINEER ACCOUNTANT,Satya Narayan Pradhan,15-Sep-2023 11:59 AM,finsummary_452757.pdf (308.66 KB),Finance,BIDS HAVE BEEN OPENED,Satya Narayan Pradhan,05-Sep-2023 01:35 PM,,BOQ Comparative Chart,1.0,2225509.0,DEBANTA KARNA,INR,"104,050",AOC
2,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2228080,Puspalata Kar,01-Sep-2023 07:44 AM,Rejected-AOC,NOT SELECTED,17-Oct-2023 04:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
