Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
"E.O, NAC, Barpali",Internal,"Executive Officer, Municipal Engineer, Addl. Tahasildar, Barpali, Sub-Treasury Officer Barpali",Bhuban Kumar Satpathy,12-Jul-2023 11:35 AM,techsummary_431932.pdf (1169.34 KB),Municipal Bodies||Barpali NAC,2023_ORULB_87165_3,EOBRP/03/2022-23,Construction of CC drain from Pramod Meher house to towards Bhaskara Swain House front and One RCC culvert in Ward No.05,1.0,2108894.0,SALIM KHAN,INR,"797,654.55",1,2109020,DINGARA MEHER,03-Apr-2023 03:47 PM,Rejected-AOC,L2,02-Oct-2023 07:36 PM,Finance,Tow nos. of bidder has participate,Bhuban Kumar Satpathy,05-Apr-2023 12:06 PM,,BOQ Comparative Chart,"Chairman, NAC Barpali",Internal,"Chairperson, Executive Officer, Addl. Tahasildar, Sub-Treasury Officer, Municipal Engineer",Bhuban Kumar Satpathy,16-Sep-2023 08:14 AM,finsummary_431932.pdf (1169.34 KB),25-Sep-2023,"INR 797,654",60.0,Bhuban Kumar Satpathy,02-Oct-2023 07:35 PM,AOC.pdf (292.00 KB),WORK ORDER ISSUED,AOC,"Executive Officer, NAC, Barpali","O/o of the NAC, Barpali Dist.-Bargarh, Pin-768029",1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,"4,000",0.0,Nil,Nil,No,23-Mar-2023 11:00 AM,05-Apr-2023 11:00 AM,23-Mar-2023 11:00 AM,03-Apr-2023 05:00 PM,23-Mar-2023 11:00 AM ,03-Apr-2023 05:00 PM ,23-Mar-2023 11:00 AM,03-Apr-2023 05:00 PM,"7,978",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Barpali NAC,EOBRP/03/2022-23,2023_ORULB_87165_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of CC drain from Pramod Meher house to towards Bhaskara Swain House front and One RCC culvert in Ward No.05,Construction of CC drain from Pramod Meher house to towards Bhaskara Swain House front and One RCC culvert in Ward No.05,Please refer Tender documents. ,NA ,"7,97,776",Civil Works - Others,NA ,Tender,120.0,60.0,NAC Barpali,768029.0,NA ,NA ,NA ,"O/o of the NAC, Barpali",No ,No,1,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,2108894,SALIM KHAN,03-Apr-2023 02:16 PM,Accepted-AOC,L1,02-Oct-2023 07:36 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"Bid Cost, EMD, Registration Certificate, PAN, GSTN, No Relation Certificate, Affidavit, as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC
