Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Keonjhar,742.0,2023_OSCSC_88075_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"5,900",0.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Selection and appointment of L-II Transport Contractor to lift the Food grains from RRC to FPS Point,"1,00,000",No,fixed,,Nil,Nil,1,ICICI BANK,18-Apr-2023 04:00 PM,02-May-2023 10:00 AM,18-Apr-2023 04:00 PM,01-May-2023 05:00 PM,18-Apr-2023 04:00 PM ,20-Apr-2023 09:00 AM ,18-Apr-2023 04:00 PM,01-May-2023 05:00 PM,29-May-2023 11:00 AM,Selection and appointment of L-II Transport Contractor to lift the Food grains from RRC to FPS Points of Barbil Municipality,Selection and appointment of L-II Transport Contractor to lift the Food grains from RRC to FPS Points of Barbil Municipality,Please refer Tender documents. ,NA ,,Handling and Transportation,NA ,Tender,45.0,730.0,Keonjhar,758001.0,"Office of the CCSO-cum-DM, OSCSC Ltd., Keonjhar ","Office of the CCSO-cum-DM, OSCSC Ltd., Keonjhar ",20-Apr-2023 10:00 AM ,"Office of the ADM (Gen.), Keonjhar",No ,No,"CCSO-cum-DM, OSCSC Ltd., Keonjhar","Office of the CCSO-cum-DM, OSCSC Ltd., Keonjhar",AOC,Collector,Internal,,Basanta Kumar Panda,05-Oct-2023 12:33 PM,finsummary_434778.pdf (164.22 KB),05-Oct-2023,"INR 1,263,564",730.0,Basanta Kumar Panda,18-Oct-2023 01:02 PM,AOCLIIMPL.pdf (445.00 KB),Technical,Both the Bids have been Admitted,Basanta Kumar Panda,23-May-2023 01:29 PM,technical_434778.pdf,1,2126973,MAA MANGALA TRANSPORT,30-Apr-2023 03:19 PM,Rejected-Finance,Rejected,05-Oct-2023 12:33 PM,Finance,Proceedings,Basanta Kumar Panda,04-Oct-2023 01:47 PM,finance_434778.pdf,BOQ Comparative Chart,1.0,2126995.0,M/s. Maa Tarini Transport Pvt. Ltd.,INR,26.1,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Keonjhar,2023_OSCSC_88075_1,742.0,Selection and appointment of L-II Transport Contractor to lift the Food grains from RRC to FPS Points of Barbil Municipality,Collector Keonjhar,Internal,DLO DSWO RTO CCSO,Basanta Kumar Panda,23-May-2023 02:31 PM,29-May-2023 11:00 AM,techsummary_434778.pdf (271.95 KB),AOC
,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Selection and appointment of L-II Transport Contractor to lift the Food grains from RRC to FPS Point,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,2126995,M/s. Maa Tarini Transport Pvt. Ltd.,30-Apr-2023 05:12 PM,Accepted-AOC,Awarded with AOC,18-Oct-2023 01:03 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
