Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Renovation of drain with construction of cover slab at mathapokhari of Basudev Nagar ward no 19,Renovation of drain with construction of cover slab at mathapokhari of Basudev Nagar ward no 19,As per DTCN ,NA ,"5,06,837",Civil Works - Others,NA ,Tender,120.0,90.0,BMC area limited,751007.0,NA ,NA ,NA ,"SE, Drainage Chamber",No ,No,"4,000",0.0,Nil,Nil,No,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-DD-13/2023-24 dtd.04.08.2023,2023_ORULB_91733_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"SE, Drainage Division,BMC","SE, Drainage Division,BMC",1.0,Fee/PreQual/Technical/Finance,.pdf,Scan Copy of all Documents,05-Aug-2023 10:30 AM,22-Aug-2023 11:00 AM,05-Aug-2023 10:30 AM,21-Aug-2023 05:00 PM,NA ,NA ,05-Aug-2023 10:30 AM,21-Aug-2023 05:00 PM,"5,068",Yes,percentage,1.0%,Nil,Nil,1,ICICI BANK,AOC,Municipal Bodies||Bhubaneswar Municipal Corporation,2023_ORULB_91733_3,BMC-EE-DD-13/2023-24 dtd.04.08.2023,Renovation of drain with construction of cover slab at mathapokhari of Basudev Nagar ward no 19,1.0,2202164.0,BISWA PRAKASH BEHERA,INR,"615,411",Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Goutam Chandra Das,17-Oct-2023 01:21 PM,techsummary_446460.pdf (109.86 KB),Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Goutam Chandra Das,17-Oct-2023 01:26 PM,finsummary_446460.pdf (109.86 KB),Finance,2 bids opened successfully,Goutam Chandra Das,22-Aug-2023 02:50 PM,finance_446460.pdf,BOQ Comparative Chart,17-Oct-2023,"INR 615,411",90.0,Goutam Chandra Das,17-Oct-2023 01:30 PM,WO-349.23.pdf (308.00 KB),1,2202164,BISWA PRAKASH BEHERA,16-Aug-2023 09:41 AM,Accepted-AOC,1st lowest,17-Oct-2023 01:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2203786,MILLAN MALLA PROPRIETOR SARALA FABRICATION,16-Aug-2023 06:28 PM,Rejected-Finance,other than 1st lowest,17-Oct-2023 01:26 PM,AOC
