Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
CHAIR PERSON NAC JUNAGARH,Internal,,Bira Singh Biroli,24-Sep-2023 06:46 PM,techsummary_435130.pdf (448.65 KB),Municipal Bodies||Junagarh NAC,2023_ORULB_88192_2,JUNAGARH/NAC/04/2022-23,"Construction of Road and Drain from Mahon Garrage to Rupeshbabu house at Sahupada in Ward No.12., N.A.C.,Junagarh.",1.0,2126790.0,Iswari Prasad Sahu,INR,"192,793.982",1,2126790,Iswari Prasad Sahu,29-Apr-2023 07:30 PM,Accepted-AOC,l1,10-Oct-2023 11:50 PM,Finance,OK,Bira Singh Biroli,24-Sep-2023 06:30 PM,,BOQ Comparative Chart,As per the tender committee.,Internal,,Premlal Hial,10-Oct-2023 11:42 PM,finsummary_435130.pdf (225.87 KB),10-Oct-2023,"INR 192,793.982",60.0,Premlal Hial,10-Oct-2023 11:50 PM,jng.pdf (226.00 KB),As per the tender committee.,AOC,21-Apr-2023 10:00 AM,01-May-2023 10:00 AM,21-Apr-2023 10:00 AM,30-Apr-2023 05:00 PM,NA ,NA ,21-Apr-2023 10:00 AM,30-Apr-2023 05:00 PM,"Construction of Road and Drain from Mahon Garrage to Rupeshbabu house at Sahupada in Ward No.12., N.A.C.,Junagarh.","Construction of Road and Drain from Mahon Garrage to Rupeshbabu house at Sahupada in Ward No.12., N.A.C.,Junagarh.",Please refer Tender documents. ,NA ,"1,92,795",Civil Works - Others,NA ,Tender,90.0,60.0,ward no 12,766014.0,NA ,NA ,NA ,O/o-NAC Junagarh,No ,No,EXECUTIVE OFFICER NAC Junagarh,Executive Officer NAC Junagarh,"1,928",Yes,percentage,1.0%,Nil,Nil,600.0,0.0,Nil,Nil,No,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"GST Certificate,PAN,Affidavit,Cost of Tender Paper,EMD and other documents as per DTCN",Municipal Bodies||Junagarh NAC,JUNAGARH/NAC/04/2022-23,2023_ORULB_88192_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,2126811,RAJENDRA NARAYAN SAMANTARAY,29-Apr-2023 08:16 PM,Rejected-Finance,As per the tender committee.,10-Oct-2023 11:42 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,AOC
