Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
"E.O, NAC, Barpali",Internal,"Executive Officer, Municipal Engineer, Addl. Tahasildar, Barpali, Sub-Treasury Officer, Barpali",Bhuban Kumar Satpathy,12-Jul-2023 01:31 PM,techsummary_432073.pdf (1169.34 KB),1,2109008,MANOJ KUMAR MEHER ST,03-Apr-2023 03:38 PM,Rejected-AOC,accept,02-Oct-2023 07:53 PM,25-Sep-2023,"INR 856,662",60.0,Bhuban Kumar Satpathy,02-Oct-2023 07:49 PM,AOC.pdf (292.00 KB),work order issued,Finance,TWO NOS. OF BIDDER HAS PARTICIPATE,Bhuban Kumar Satpathy,05-Apr-2023 01:13 PM,,BOQ Comparative Chart,1.0,2109050.0,MUNA MEHER,INR,"856,662.98",Municipal Bodies||Barpali NAC,2023_ORULB_87165_29,EOBRP/03/2022-23,Construction of CC drain from Ananta Meher house to towards Khajur Bandha in Ward No.5,"Chairman, NAC Barpali",Internal,"Chairperson, Executive Officer, Addl. Tahasildar, Sub-Treasury Officer, Municipal Engineer",Bhuban Kumar Satpathy,15-Sep-2023 12:43 PM,finsummary_432073.pdf (1169.34 KB),AOC,1,ICICI BANK,Municipal Bodies||Barpali NAC,EOBRP/03/2022-23,2023_ORULB_87165_29,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of CC drain from Ananta Meher house to towards Khajur Bandha in Ward No.5,Construction of CC drain from Ananta Meher house to towards Khajur Bandha in Ward No.5,Please refer Tender documents. ,NA ,"8,57,522",Civil Works - Others,NA ,Tender,120.0,60.0,NAC Barpali,768029.0,NA ,NA ,NA ,"O/o of the NAC, Barpali",No ,No,23-Mar-2023 11:00 AM,05-Apr-2023 11:00 AM,23-Mar-2023 11:00 AM,03-Apr-2023 05:00 PM,23-Mar-2023 11:00 AM ,03-Apr-2023 05:00 PM ,23-Mar-2023 11:00 AM,03-Apr-2023 05:00 PM,"8,575",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,"Executive Officer, NAC, Barpali","O/o of the NAC, Barpali Dist.-Bargarh, Pin-768029","4,000",0.0,Nil,Nil,No,AOC
,,,,,,2,2109050,MUNA MEHER,03-Apr-2023 03:59 PM,Accepted-AOC,accept,02-Oct-2023 07:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Bid Cost, EMD, Registration Certificate, PAN, GSTN, No Relation Certificate, Affidavit, as per DTCN",,,,,,,,AOC
