Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
BDO,Internal,,Abanikanta Sahoo,07-Oct-2023 08:03 AM,techsummary_438125.pdf (290.53 KB),1.0,2151680.0,SAHIL CONSTRUCTION,INR,"2,742,709",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jajpur||RASULPUR Block,2023_PRRAS_89055_3,TENDER ONLINE 01 RAS OF 2023-24,Construction of Sub-Center Building at Mangarajpur,1,2151685,DILLIP KUMAR MALLIK,31-May-2023 04:03 PM,Rejected-AOC,Disqualified through lottery,07-Oct-2023 08:47 AM,Finance,All documents are ok,Abanikanta Sahoo,18-Aug-2023 04:22 PM,finance_438125.pdf,BOQ Comparative Chart,BDO,Internal,,Abanikanta Sahoo,07-Oct-2023 08:36 AM,finsummary_438125.pdf (290.53 KB),07-Oct-2023,"INR 2,742,709",270.0,Abanikanta Sahoo,07-Oct-2023 08:47 AM,Mangarajpur.pdf (291.00 KB),AOC,Construction of Sub-Center Building at Mangarajpur,Works,Please refer Tender documents. ,NA ,"32,26,337",Civil Works - Buildings,NA ,Tender,270.0,270.0,"PANCHAYAT SAMITI, RASALPUR",755009.0,NA ,NA ,NA ,"PANCHAYAT SAMITI, RASALPUR",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GSTIN,AFFIDAVIT,ONLINE CHALLAN OF TENDER COST,EMD AND OTHER DOCUMENT AS PER DTCN",17-May-2023 11:00 AM,02-Jun-2023 11:30 AM,17-May-2023 11:00 AM,31-May-2023 05:00 PM,17-May-2023 11:00 AM ,30-May-2023 01:00 PM ,17-May-2023 11:00 AM,31-May-2023 05:00 PM,"32,300",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"6,000",Nil,Nil,No,"BDO, RASALPUR","PANCHAYAT SAMITI, RASALPUR, DIST- JAJPUR, PIN-755009",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jajpur||RASULPUR Block,TENDER ONLINE 01 RAS OF 2023-24,2023_PRRAS_89055_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,2151194,JAYANTA KUMAR SETHY,30-May-2023 08:01 PM,Rejected-AOC,Disqualified through lottery,07-Oct-2023 08:47 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2150754,RANJAN KUMAR PANDA,29-May-2023 10:54 PM,Rejected-AOC,Disqualified through lottery,07-Oct-2023 08:47 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2151680,SAHIL CONSTRUCTION,31-May-2023 04:13 PM,Accepted-AOC,Selected through lottery,07-Oct-2023 08:47 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2150664,SATYAJIT JENA,29-May-2023 06:28 PM,Rejected-AOC,Disqualified through lottery,07-Oct-2023 08:47 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2151620,SUDAM CHARAN SETHY,31-May-2023 02:41 PM,Rejected-AOC,Disqualified through lottery,07-Oct-2023 08:47 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
