Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Finance,Opening Summary,HEMASAGAR BHOI,12-Aug-2023 06:35 PM,finance_445635.pdf,BOQ Comparative Chart,1.0,2195392.0,BISWARANJAN MAHAKUL,INR,"2,261,464",ST and SC Development Deptt||ITDA Kuchinda,2023_STSCD_91340_10,ITDAKCD-03/2023-24,Construction of Dormitories with Bathroom and Toilet for Boys at Sandhapathar Ashram School under Jamankira Block,Collector Sambalpur cum chairman ITDA Kuchinda,Internal,Project Administrator ITDA Kuchinda Executive Engineer RWD Kuchinda,HEMASAGAR BHOI,30-Sep-2023 09:20 PM,finsummary_445635.pdf (3656.24 KB),Collector Sambalpur cum chairman ITDA Kuchinda,Internal,Project Administrator ITDA Kuchinda Executive Engineer RWD Kuchinda,HEMASAGAR BHOI,30-Sep-2023 08:40 PM,techsummary_445635.pdf (852.87 KB),06-Oct-2023,"INR 2,261,464",150.0,HEMASAGAR BHOI,09-Oct-2023 08:54 PM,937.pdf (546.00 KB),Agreement Completed,1,2195413,AMIT AGRAWAL,06-Aug-2023 01:21 AM,Rejected-AOC,Lottery Loss,09-Oct-2023 08:54 PM,AOC,"26,700",Yes,fixed,,Nil,Nil,ST and SC Development Deptt||ITDA Kuchinda,ITDAKCD-03/2023-24,2023_STSCD_91340_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,As per DTCN,28-Jul-2023 10:00 AM,11-Aug-2023 10:00 AM,28-Jul-2023 10:00 AM,07-Aug-2023 05:00 PM,28-Jul-2023 10:00 AM ,07-Aug-2023 05:00 PM ,28-Jul-2023 10:00 AM,07-Aug-2023 05:00 PM,1.0,ICICI BANK,Construction of Dormitories with Bathroom and Toilet for Boys at Sandhapathar Ashram School under Jamankira Block,Construction of Dormitories with Bathroom and Toilet for Boys at Sandhapathar Ashram School under Jamankira Block,As per DTCN ,NA ,"26,60,233",Civil Works - Buildings,NA ,Tender,90.0,150.0,Kuchinda,768222.0,NA ,NA ,NA ,"O/o Project Administrator, ITDA, Kuchinda",No ,No,"6,000",0.0,Nil,Nil,No,"Project Administrator, ITDA, Kuchinda","Kuchinda, Kuchinda, Sambalpur",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2195392,BISWARANJAN MAHAKUL,06-Aug-2023 01:28 PM,Accepted-AOC,Lottery Winner,09-Oct-2023 08:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2194293,CHETT RAM AGRAWALLA,06-Aug-2023 04:57 PM,Rejected-AOC,Lottery Loss,09-Oct-2023 08:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2196236,Debadatta Meher,07-Aug-2023 02:59 PM,Rejected-AOC,Lottery Loss,09-Oct-2023 08:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2195642,DEBASISH PADHAN,07-Aug-2023 12:06 AM,Rejected-AOC,Lottery Loss,09-Oct-2023 08:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2195694,ISMAIL AZAD BADHAI,06-Aug-2023 09:12 PM,Rejected-AOC,Lottery Loss,09-Oct-2023 08:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2195236,NARESH BEHERA,05-Aug-2023 04:34 PM,Rejected-AOC,Lottery Loss,09-Oct-2023 08:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2195632,RAJESH KUMAR PATEL,06-Aug-2023 06:34 PM,Rejected-AOC,Lottery Loss,09-Oct-2023 08:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2195976,RAJU AGRAWL,07-Aug-2023 12:23 PM,Rejected-AOC,Lottery Loss,09-Oct-2023 08:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2196070,SATYANARAYAN SAHU,07-Aug-2023 12:56 PM,Rejected-AOC,Lottery Loss,09-Oct-2023 08:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
