S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2165386.0,SANGRAM KESHAR PATNAIK,INR,"430,072",Municipal Bodies||Rayagada Municipality,2023_ORULB_89292_7,RGDA-MUN-02/2023-24,Improvement of road with factory made CC interlocking paver block at Yedu Sahi road in W.No-06.,"Chairperson, Rayagada Municipality",Internal,,Bulu Sethy,07-Oct-2023 11:55 PM,techsummary_439167.pdf (47.99 KB),08-Oct-2023,"INR 430,072",30.0,Bulu Sethy,08-Oct-2023 12:02 AM,doc.pdf (1621.00 KB),Finance,All Bids Opened,BIKRAMADITYA MOHAPATRA,25-Jul-2023 11:43 PM,finance_439167.pdf,BOQ Comparative Chart,"Chairperson, Rayagada Municipality",Internal,,Bulu Sethy,08-Oct-2023 12:01 AM,finsummary_439167.pdf (47.99 KB),1,2163957,ABHIMANYU NAIK,22-Jun-2023 12:00 PM,Rejected-Finance,Not qualified in the lottery system,08-Oct-2023 12:00 AM,AOC,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,29-May-2023 11:30 AM,27-Jun-2023 11:30 AM,29-May-2023 11:30 AM,22-Jun-2023 05:30 PM,29-May-2023 11:30 AM ,21-Jun-2023 05:30 PM ,29-May-2023 11:30 AM,22-Jun-2023 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"CDMS License,BDC,PAN,GSTIN,Paper Cost,EMD,Caste Certificate,Affidavit,Bank A/C as per DTCN","5,060",Yes,fixed,,Nil,Nil,"Executive Officer, Rayagada Municipality","Executive Officer, Rayagada Municipality",Improvement of road with factory made CC interlocking paver block at Yedu Sahi road in W.No-06.,Improvement of road with factory made CC interlocking paver block at Yedu Sahi road in W.No-06.,Please refer Tender documents. ,NA ,"5,05,932",Civil Works - Roads,NA ,Tender,90.0,30.0,Rayagada,765001.0,NA ,NA ,NA ,Rayagada Municipality,No ,No,Municipal Bodies||Rayagada Municipality,RGDA-MUN-02/2023-24,2023_ORULB_89292_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2165288,ANAM NAIK,22-Jun-2023 03:20 PM,Rejected-Finance,Not qualified in the lottery system,08-Oct-2023 12:00 AM,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2165195,HARIBANDHU NAIK,21-Jun-2023 04:28 PM,Rejected-Finance,Not qualified in the lottery system,08-Oct-2023 12:00 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2164724,JAGANNATH SAHU,21-Jun-2023 09:36 AM,Rejected-Finance,Not qualified in the lottery system,08-Oct-2023 12:00 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2163895,krishna ch panda,19-Jun-2023 11:45 PM,Rejected-Finance,Not qualified in the lottery system,08-Oct-2023 12:00 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2165277,MADHUSMITA PADHI,21-Jun-2023 04:17 PM,Rejected-Finance,Not qualified in the lottery system,08-Oct-2023 12:00 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2162085,NANDA KISHOR PRASAD CHOURASIA,19-Jun-2023 05:33 PM,Rejected-Finance,Not qualified in the lottery system,08-Oct-2023 12:00 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2163549,PRADEEPTA DASH,22-Jun-2023 01:34 PM,Rejected-Finance,Not qualified in the lottery system,08-Oct-2023 12:00 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2164500,RABI NARAYAN MISHRA,20-Jun-2023 07:23 PM,Rejected-Finance,Not qualified in the lottery system,08-Oct-2023 12:00 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2163069,RASMITA SAHUKAR,19-Jun-2023 09:15 AM,Rejected-Finance,Not qualified in the lottery system,08-Oct-2023 12:00 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
