Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Odisha Tourism Devl. Corp.,2023_OTDC_90420_6,BP -I/02/2023-24Dt.21.06.2023,Renovation and Upgradation of Way Side Amenity Centre at Jharbeda in Sundargarh Dist.,S.K. Behera,Internal,R.K.PaleIA.S. SWAINA.RATH.SPRADHAN,Sunil Kumar Behera,10-Oct-2023 07:37 PM,finsummary_443002.pdf (1861.83 KB),1.0,2180821.0,M/S SILICON INTERIORS,INR,"2,104,582",10-Oct-2023,"INR 2,104,582",90.0,Sunil Kumar Behera,10-Oct-2023 07:39 PM,Jharbeda.pdf (1218.00 KB),Renovation and Upgradation of Way Side Amenity Centre at Jharbeda in Sundargarh Dist.,S.K. Behera,Internal,R.K.PaleIA.S. SWAINA.RATH.SPRADHAN,Sunil Kumar Behera,10-Oct-2023 07:34 PM,techsummary_443002.pdf (1861.83 KB),1,2181340,MAHAVEER MAINTENANCE AND CONSTRUCTION,19-Jul-2023 04:33 PM,Rejected-AOC,Fulfilled eligibility criteria,10-Oct-2023 07:40 PM,Finance,Renovation and Upgradation of Way Side Amenity Centre at Jharbeda in Sundargarh Dist.,Sunil Kumar Behera,10-Oct-2023 07:31 PM,finance_443002.pdf,BOQ Comparative Chart,AOC,"20,980",Yes,percentage,1.0%,Nil,Nil,Odisha Tourism Devl. Corp.,BP -I/02/2023-24Dt.21.06.2023,2023_OTDC_90420_6,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000","1,080",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender, EMD, Contractor Registration License, Pan card, Affidative, GST work experience cert",1.0,ICICI BANK,06-Jul-2023 12:20 PM,20-Jul-2023 11:30 AM,06-Jul-2023 12:20 PM,19-Jul-2023 05:00 PM,NA ,NA ,06-Jul-2023 12:20 PM,19-Jul-2023 05:00 PM,Superintending Engineer(I/C) O.T.D.C Ltd,Superintending Engineer(I/C) O.T.D.C Ltd Lewis road Bhubaneswar.,Renovation and Upgradation of Way Side Amenity Centre at Jharbeda in Sundargarh Dist.,Renovation and Upgradation of Way Side Amenity Centre at Jharbeda in Sundargarh Dist.,Please refer Tender documents. ,NA ,"20,98,000",Civil Works - Others,NA ,Tender,90.0,90.0,Jharbeda in Sundargarh Dist.,770070.0,NA ,NA ,NA ,Superintending Engineer(I/C) O.T.D.C Ltd,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2180821,M/S SILICON INTERIORS,19-Jul-2023 12:04 PM,Accepted-AOC,Fulfilled eligibility criteria,10-Oct-2023 07:40 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2181240,Rohit Xess,19-Jul-2023 03:54 PM,Rejected-Technical,Not Fulfilled eligibility criteria,10-Oct-2023 07:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
