Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Extension of wealth center at Kasananta,Extension of wealth center at Kasananta,Please refer Tender documents. ,NA ,"7,38,976",Civil Works - Others,NA ,Tender,120.0,60.0,PATTAMUNDAI,754215.0,NA ,NA ,NA ,OFFICE OF THE MUNICIPALITY,No ,No,Municipal Bodies||Pattamundai Municipality,PM_01/2023-24,2023_ORULB_88736_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,04-May-2023 05:00 PM,15-May-2023 11:00 AM,04-May-2023 05:00 PM,13-May-2023 05:00 PM,04-May-2023 05:00 PM ,12-May-2023 01:00 PM ,04-May-2023 05:00 PM,13-May-2023 05:00 PM,"7,390",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Documents as per DTCN,EXECUTIVE OFFICER PATTAMUNDAI MUNICIPALITY,Pattamundai Municipality,AOC,07-Oct-2023,"INR 872,000",60.0,Ajit Narayanprasad Giri,07-Oct-2023 01:40 PM,AOC.pdf (154.00 KB),HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,07-Oct-2023 01:37 PM,finsummary_436821.pdf (129.98 KB),Finance,OK,Sushil Kumar Behera,17-May-2023 09:29 AM,,BOQ Comparative Chart,1,2134434,AKASH MALIK,12-May-2023 12:28 PM,Rejected-AOC,5,07-Oct-2023 01:41 PM,Municipal Bodies||Pattamundai Municipality,2023_ORULB_88736_7,PM_01/2023-24,Extension of wealth center at Kasananta,1.0,2135775.0,KRUSHNA CHANDRA PUHAN,INR,"741,280",HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,07-Oct-2023 01:34 PM,techsummary_436821.pdf (82.86 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,.xls,boq,,,AOC,,,,,,,,,,,,,,,,,,,2,2137426,AMIT KUMAR SWAIN,13-May-2023 01:20 PM,Rejected-AOC,7,07-Oct-2023 01:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2135797,ASHOK KUMAR MALLICK,10-May-2023 05:51 PM,Rejected-AOC,3,07-Oct-2023 01:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,2135748,BIPAD BHANJAN MALIK,10-May-2023 04:47 PM,Rejected-AOC,L2,07-Oct-2023 01:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,2136482,DILLIP KUMAR BARIK,11-May-2023 10:54 PM,Rejected-AOC,4,07-Oct-2023 01:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,2135775,KRUSHNA CHANDRA PUHAN,10-May-2023 05:23 PM,Accepted-AOC,L1,07-Oct-2023 01:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,2137221,NIHARIKA PATTANAIK,12-May-2023 10:00 PM,Rejected-Technical,Invalid Registration Certificate,07-Oct-2023 01:34 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,2136554,PRASANT KUMAR MOHARANA,12-May-2023 04:52 PM,Rejected-AOC,9,07-Oct-2023 01:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,2137383,Sarat Kumar Biswal,13-May-2023 11:27 AM,Rejected-AOC,8,07-Oct-2023 01:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,2136540,SRIKANTA SWAIN,12-May-2023 05:26 PM,Rejected-AOC,6,07-Oct-2023 01:41 PM,,,,,,,,,,,,,,,,AOC
