Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"SE UKIDIVN, Borigumma,Dist-Koraput","Office of the Superintending Engineer, U.K.I.Division,Borigumma, Dist- Koraput, PIN 764056","6,300",Yes,fixed,,Nil,Nil,"4,000",Nil,Nil,Yes,1.0,ICICI BANK,29-Aug-2023 11:00 AM,11-Sep-2023 11:00 AM,29-Aug-2023 11:00 AM,09-Sep-2023 05:30 PM,NA ,NA ,29-Aug-2023 11:00 AM,09-Sep-2023 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, EMD, GST Registration Certificate, GSTIN, PAN and Contractor RC",CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Telengiri Canal Division Ambaguda,SEUKID 01/2023-24 (SL18),2023_TCDA_93378_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Repair of H.R,Outlet No-3 of Bagddary distributary and Renovation to canal of Kanga Sub-Minor-II.",CANAL STRUCTURAL WORK,AS PER DTCN ,NA ,"6,29,597",Civil Works - Canal,NA ,Tender,90.0,90.0,BORIGUMMA,764056.0,NA ,NA ,NA ,"Office of the SE UKIDIVN, Borigumma,Dist-Koraput.",No ,No,AOC,1,2239280,ANUKULA CHANDRA PATTNAIK,06-Sep-2023 01:43 PM,Rejected-Finance,Disqualified in transparent lottery system.,16-Oct-2023 12:03 AM,"SE,UKID, Borigumma",Internal,"Divisional Accountant , Estimator",PRADEEP KUMAR SENAPATI,15-Oct-2023 12:40 AM,techsummary_455280.pdf (216.74 KB),Finance,Bid opening summary,PRADEEP KUMAR SENAPATI,14-Oct-2023 11:59 PM,finance_455280.pdf,BOQ Comparative Chart,1.0,2245880.0,LINGARAJ PANDA,INR,"535,220",16-Oct-2023,"INR 629,597",90.0,PRADEEP KUMAR SENAPATI,18-Oct-2023 10:18 PM,WO18.pdf (223.00 KB),Work Order,"SE,UKID, Borigumma",Internal,"Divisional Accountant , Estimator",PRADEEP KUMAR SENAPATI,16-Oct-2023 12:03 AM,finsummary_455280.pdf (361.91 KB),CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Telengiri Canal Division Ambaguda,2023_TCDA_93378_1,SEUKID 01/2023-24 (SL18),"Repair of H.R,Outlet No-3 of Bagddary distributary and Renovation to canal of Kanga Sub-Minor-II.",AOC
,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,"Tender cost, undertaking, Check List and any other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2245835,ANUPAMA PANDA,09-Sep-2023 07:09 AM,Rejected-Finance,Disqualified in transparent lottery system.,16-Oct-2023 12:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2245727,BIJAYA KUMAR MADALA,08-Sep-2023 09:38 PM,Rejected-Finance,Disqualified in transparent lottery system.,16-Oct-2023 12:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2243970,DILIP KUMAR NAYAK,08-Sep-2023 10:46 AM,Rejected-Finance,Disqualified in transparent lottery system.,16-Oct-2023 12:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2244874,ISWAR MOHANTY,08-Sep-2023 01:55 PM,Rejected-Finance,Disqualified in transparent lottery system.,16-Oct-2023 12:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2245880,LINGARAJ PANDA,09-Sep-2023 11:21 AM,Accepted-AOC,Qualified in transparent lottery system.,18-Oct-2023 10:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2245851,PRASANTA KUMAR PATTNAIK,09-Sep-2023 08:07 AM,Rejected-Finance,Disqualified in transparent lottery system.,16-Oct-2023 12:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2244444,Rajesh Gouda,08-Sep-2023 12:04 PM,Rejected-Finance,Disqualified in transparent lottery system.,16-Oct-2023 12:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2245482,RINKU BISOI,09-Sep-2023 10:31 AM,Rejected-Finance,Disqualified in transparent lottery system.,16-Oct-2023 12:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2233328,SANGAM KUMAR MISHRA,03-Sep-2023 08:32 PM,Rejected-Finance,Disqualified in transparent lottery system.,16-Oct-2023 12:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
