Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-II_No3/2023-24,2023_ORULB_87423_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,20-Apr-2023 01:00 PM,04-May-2023 10:00 AM,20-Apr-2023 01:00 PM,01-May-2023 05:30 PM,NA ,NA ,20-Apr-2023 01:00 PM,01-May-2023 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online.","11,800",0.0,Nil,Nil,No,"61,700",Yes,fixed,,Nil,Nil,1,ICICI BANK,"Executive Engineer,Div-II","Bikash Bhawan,Jagannath Lane,Badambadi-753012","Construction of Smart Foothpath and Beautification work from Badambadi Police Station to CDA, Arunadaya Market (South side of Link Road) in Ward No.44.","Construction of Smart Foothpath and Beautification work from Badambadi Police Station to CDA, Arunadaya Market (South side of Link Road) in Ward No.44.",Please refer Tender documents. ,NA ,"61,69,401",Civil Works - Others,NA ,Tender,90.0,90.0,CMC,753012.0,NA ,NA ,NA ,"Bikash Bhawan,Jagannath Lane,Badambadi-753012",No ,No,AOC,1,2124880,Bibhuti Bhusan Mallik,27-Apr-2023 05:50 PM,Rejected-AOC,Rejected,17-Oct-2023 05:08 PM,17-Oct-2023,"INR 5,244,607.95",90.0,Dibya Ranjan Tripathy,17-Oct-2023 05:07 PM,biswa.pdf (69.00 KB),W.O.,Executive Engineer,Internal,Deputy Executive Engineer,Dibya Ranjan Tripathy,17-Oct-2023 05:06 PM,finsummary_435113.pdf (73.75 KB),Finance,Two bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Dibya Ranjan Tripathy,08-Jun-2023 11:38 AM,finance_435113.pdf,BOQ Comparative Chart,Original Document Verify,Internal,Original Document Verify,Dibya Ranjan Tripathy,17-Oct-2023 05:05 PM,techsummary_435113.pdf (73.75 KB),Municipal Bodies||Cuttack Municipal Corporation,2023_ORULB_87423_2,MC(CMC)CTC_Div-II_No3/2023-24,"Construction of Smart Foothpath and Beautification work from Badambadi Police Station to CDA, Arunadaya Market (South side of Link Road) in Ward No.44.",1.0,2127421.0,Sarat Malik,INR,"5,244,607.95",AOC
,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,2,2127421,Sarat Malik,01-May-2023 01:26 PM,Accepted-AOC,Accepted,17-Oct-2023 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
