Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
S.K. Behera,Internal,R.K.PaleIA.S. SWAINA.RATH.SPRADHAN,Sunil Kumar Behera,06-Oct-2023 04:18 PM,techsummary_443032.pdf (4676.06 KB),1.0,2180956.0,MS Shree Shyam and Co,INR,"2,756,676",Odisha Tourism Devl. Corp.,2023_OTDC_90420_10,BP -I/02/2023-24Dt.21.06.2023,Renovation and Upgradation of Way Side Amenity Centre at Khajuriapada in Boudh Dist.,1,2179343,Arun Kumar Das,18-Jul-2023 04:15 PM,Rejected-AOC,Fulfilled the eligibility criteria,06-Oct-2023 04:26 PM,Finance,Proceeding,Sunil Kumar Behera,06-Oct-2023 04:15 PM,finance_443032.pdf,BOQ Comparative Chart,S.K. Behera,Internal,R.K.PaleIA.S. SWAINA.RATH.SPRADHAN,Sunil Kumar Behera,06-Oct-2023 04:22 PM,finsummary_443032.pdf (4676.06 KB),06-Oct-2023,"INR 2,756,676",90.0,Sunil Kumar Behera,06-Oct-2023 04:25 PM,KhajuriapadaWO.PDF (1198.00 KB),Renovation and Upgradation of Way Side Amenity Centre at Khajuriapada in Boudh Dist.,AOC,Renovation and Upgradation of Way Side Amenity Centre at Khajuriapada in Boudh Dist.,Renovation and Upgradation of Way Side Amenity Centre at Khajuriapada in Boudh Dist.,Please refer Tender documents. ,NA ,"27,48,000",Civil Works - Others,NA ,Tender,90.0,90.0,Khajuriapada in Boudh Dist.,762012.0,NA ,NA ,NA ,Superintending Engineer(I/C) O.T.D.C Ltd,No ,No,Superintending Engineer(I/C) O.T.D.C Ltd,Superintending Engineer(I/C) O.T.D.C Ltd Lewis road Bhubaneswar.,06-Jul-2023 01:55 PM,20-Jul-2023 11:30 AM,06-Jul-2023 01:55 PM,19-Jul-2023 05:00 PM,NA ,NA ,06-Jul-2023 01:55 PM,19-Jul-2023 05:00 PM,Odisha Tourism Devl. Corp.,BP -I/02/2023-24Dt.21.06.2023,2023_OTDC_90420_10,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"27,480",Yes,percentage,1.0%,Nil,Nil,"6,000","1,080",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender, EMD, Contractor Registration License, Pan card, Affidative, GST work experience cert",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,2179091,BABULA KAANRA,17-Jul-2023 02:06 PM,Rejected-AOC,Fulfilled the eligibility criteria,06-Oct-2023 04:26 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,2180109,CHANDAN SAHOO,18-Jul-2023 05:19 PM,Rejected-AOC,Fulfilled the eligibility criteria,06-Oct-2023 04:26 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,AOC
,,,,,,,,,,,,,,,4,2180214,DILLIP KUMAR BEHERA,19-Jul-2023 01:28 PM,Rejected-AOC,Fulfilled the eligibility criteria,06-Oct-2023 04:26 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2178572,KRISHNA KUMAR AGRAWAL,16-Jul-2023 06:20 PM,Rejected-Technical,Not fulfilled the eligibility criteria,06-Oct-2023 04:18 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2181317,MAHAVEER MAINTENANCE AND CONSTRUCTION,19-Jul-2023 04:22 PM,Rejected-AOC,Fulfilled the eligibility criteria,06-Oct-2023 04:26 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2180956,MS Shree Shyam and Co,19-Jul-2023 01:20 PM,Accepted-AOC,Fulfilled the eligibility criteria,06-Oct-2023 04:26 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2180774,M/S SILICON INTERIORS,19-Jul-2023 11:49 AM,Rejected-AOC,Fulfilled the eligibility criteria,06-Oct-2023 04:26 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2179920,SANTANU KUMAR PRADHAN,18-Jul-2023 02:40 PM,Rejected-AOC,Fulfilled the eligibility criteria,06-Oct-2023 04:26 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2180160,USHASHREE PARIDA,19-Jul-2023 09:50 AM,Rejected-AOC,Fulfilled the eligibility criteria,06-Oct-2023 04:26 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
