Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,ok,Bhubaneswar Behera,28-Oct-2025 11:58 AM,,BOQ Comparative Chart,1.0,3141111.0,KANDURU NAIK,INR,"3,366,460.61",Odisha State Agricultural Marketing Board||RMC Mukhiguda,2025_OSAMB_119010_1,RMCMUKHIGUDA-01/2025-26,"Construction of Infrastructure and Repair and Renovation of existing infrastructure at Karmeli, Sargiguda, Dhaunsuli, Baner and Jaipatna Market Yards under HIRMC, Mukhiguda",chairman,Internal,"JE, AE, Secretary, Accountant",Bhubaneswar Behera,03-Feb-2026 10:17 PM,finsummary_554876.pdf (795.41 KB),chairman,Internal,"JE, AE, Secretary, Accountant",Bhubaneswar Behera,03-Feb-2026 10:05 PM,techsummary_554876.pdf (2526.35 KB),1,3146801,ABHIJEET MANDAL,24-Oct-2025 01:40 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,03-Feb-2026,"INR 3,366,460.61",90.0,Bhubaneswar Behera,03-Feb-2026 10:23 PM,Work_Order_01.pdf (818.00 KB),As per transparency Lottery System,AOC,1.0,ICICI BANK,Odisha State Agricultural Marketing Board||RMC Mukhiguda,RMCMUKHIGUDA-01/2025-26,2025_OSAMB_119010_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,Yes,1.0,Fee/PreQual/Technical/Finance,.pdf,Detail Tender Call Notice,"Sub-Collector, Dharamgarh",Dharamgarh,10-Oct-2025 11:00 AM,28-Oct-2025 11:00 AM,10-Oct-2025 11:00 AM,25-Oct-2025 05:00 PM,10-Oct-2025 11:00 AM ,24-Oct-2025 05:00 PM ,10-Oct-2025 11:00 AM,25-Oct-2025 05:00 PM,"Construction of Infrastructure and Repair and Renovation of existing infrastructure at Karmeli, Sargiguda, Dhaunsuli, Baner and Jaipatna Market Yards under HIRMC, Mukhiguda","Construction of Infrastructure and Repair and Renovation of existing infrastructure at Karmeli, Sargiguda, Dhaunsuli, Baner and Jaipatna Market Yards under HIRMC, Mukhiguda",AS PER DTCN ,NA ,"39,60,076",Civil Works - Others,NA ,Rate Contract,90.0,90.0,Jaipanta Block,766018.0,NA ,NA ,NA ,"O/o the Sub-Collector, Dharamgarh",No ,No,"39,601",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3149220,AMILAL NAIK,24-Oct-2025 05:39 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3145078,ANJAN KUMAR BEHERA,25-Oct-2025 10:48 AM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3149370,ANVI CONSTRUCTION,25-Oct-2025 02:06 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3150194,ARABINDA PADHI,25-Oct-2025 12:50 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3150806,ASHISH KUMAR AGRAWAL,25-Oct-2025 02:57 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3148785,Bhawani Sankar Harpal,24-Oct-2025 05:45 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3151008,Bhojraj Rana,25-Oct-2025 03:18 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3150558,CHAITANYA MAJHI,25-Oct-2025 01:24 PM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3148762,Chanchal Mahapatra,25-Oct-2025 01:49 AM,Rejected-Finance,As per Transparency Lottery System,03-Feb-2026 10:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
