Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
12-Feb-2026,"INR 2,543,091",30.0,Sanjeet Kumar Naik,12-Feb-2026 12:26 PM,7224.pdf (501.00 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2025_CERWI_119949_17,RWDRRP-08 of 25-26,Periodical maint of Banakati to Karkachia Road for the year 2025-26. (SDBC),1.0,3185087.0,PRADIPKUMAR RAY,INR,"2,543,091",1,3185664,BRAJA KISHORE MOHANTA,06-Nov-2025 05:36 PM,Rejected-AOC,Lottery,12-Feb-2026 12:26 PM,Finance,open,Sanjeet Kumar Naik,12-Feb-2026 12:15 PM,finance_557834.pdf,BOQ Comparative Chart,Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,12-Feb-2026 12:20 PM,finsummary_557834.pdf (501.33 KB),Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,12-Feb-2026 12:18 PM,techsummary_557834.pdf (501.33 KB),AOC,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RWDRRP-08 of 25-26,2025_CERWI_119949_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,Periodical maint of Banakati to Karkachia Road for the year 2025-26. (SDBC),Periodical maint of Banakati to Karkachia Road for the year 2025-26. (SDBC),Please refer Tender documents. ,NA ,"29,91,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Rairangpur,757043.0,NA ,NA ,NA ,SERWD Rairangpur,No ,No,SERWD Rairangpur,SERWD Rairangpur,1.0,Fee/PreQual/Technical/Finance,.pdf,tender documents as per DTCN,"29,910",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,27-Oct-2025 11:00 AM,10-Nov-2025 11:30 AM,27-Oct-2025 11:00 AM,07-Nov-2025 05:00 PM,27-Oct-2025 11:00 AM ,06-Nov-2025 05:00 PM ,27-Oct-2025 11:00 AM,07-Nov-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,2,3192578,JAYANTA KUMAR ACHARYA,07-Nov-2025 11:32 AM,Rejected-AOC,Lottery,12-Feb-2026 12:26 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3192504,MANOJ KUMAR MANDAL,07-Nov-2025 11:20 AM,Rejected-AOC,Lottery,12-Feb-2026 12:26 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3182399,MOHAN MOHANTA,05-Nov-2025 05:29 PM,Rejected-AOC,Lottery,12-Feb-2026 12:26 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3185087,PRADIPKUMAR RAY,05-Nov-2025 05:12 PM,Accepted-AOC,Lottery winner,12-Feb-2026 12:26 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3191678,PRATIMA PADHI,06-Nov-2025 10:03 PM,Rejected-AOC,Lottery,12-Feb-2026 12:26 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3184857,RANJIT KUMAR NANDA,05-Nov-2025 07:58 PM,Rejected-AOC,Lottery,12-Feb-2026 12:26 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3194343,SARBESWAR MOHANTA,07-Nov-2025 03:59 PM,Rejected-AOC,Lottery,12-Feb-2026 12:26 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3193969,SAROJ KUMAR PARIDA,07-Nov-2025 02:38 PM,Rejected-AOC,Lottery,12-Feb-2026 12:26 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3186813,SHIBANANDA PADHI,05-Nov-2025 10:46 PM,Rejected-AOC,Lottery,12-Feb-2026 12:26 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,3192317,SHRUTILATA MANDAL,07-Nov-2025 04:37 PM,Rejected-AOC,Lottery,12-Feb-2026 12:26 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,3194323,TULASHI RAJAK,07-Nov-2025 04:00 PM,Rejected-AOC,Lottery,12-Feb-2026 12:26 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
