Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
02-Feb-2026,"INR 2,593,108",60.0,Lambodar Naik,02-Feb-2026 05:02 PM,6470.pdf (387.00 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2025_CERWI_120110_27,SE/BDK-II/TCN-10/2025-26,S/R to Kasia to Gadi Mahara via Tinisha gheri Maity Pada Budhichhak road for the year 2025-26 in the District of Bhadrak,1.0,3197087.0,Arun Kumar Das,INR,"2,593,108",1,3191319,Abhijit Patra,06-Nov-2025 08:50 PM,Rejected-AOC,rejected,02-Feb-2026 05:04 PM,Finance,TOTAL 26 BIDDERS ACCEPETED,Gayatri Sethi,14-Nov-2025 04:59 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,Lambodar Naik,02-Feb-2026 04:49 PM,finsummary_558864.pdf (386.51 KB),Executive Engineer,Internal,,Lambodar Naik,02-Feb-2026 04:46 PM,techsummary_558864.pdf (286.68 KB),AOC,S/R to Kasia to Gadi Mahara via Tinisha gheri Maity Pada Budhichhak road for the year 2025-26 in the District of Bhadrak,S/R to Kasia to Gadi Mahara via Tinisha gheri Maity Pada Budhichhak road for the year 2025-26 in the District of Bhadrak,Please refer Tender documents. ,NA ,"30,51,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o The EE R.W.DIVISION-II,BHADRAK",No ,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,SE/BDK-II/TCN-10/2025-26,2025_CERWI_120110_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"30,510",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,"O/o EE R.W.DIVISION-II,BHADRAK","O/o EE R.W.DIVISION-II,BHADRAK",27-Oct-2025 04:00 PM,11-Nov-2025 11:00 AM,27-Oct-2025 04:00 PM,10-Nov-2025 05:00 PM,27-Oct-2025 04:00 PM ,10-Nov-2025 03:00 PM ,27-Oct-2025 04:00 PM,10-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD ,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,3193974,AJAY KUMAR PALITA,07-Nov-2025 02:42 PM,Rejected-AOC,rejected,02-Feb-2026 05:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,3197087,Arun Kumar Das,08-Nov-2025 01:12 PM,Accepted-AOC,selected through transparent lottery system,02-Feb-2026 05:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3199299,BASANTA KUMAR PALITA,09-Nov-2025 07:45 AM,Rejected-AOC,rejected,02-Feb-2026 05:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3207202,BHARAT KUAMR MAHAKUD,10-Nov-2025 02:03 PM,Rejected-AOC,rejected,02-Feb-2026 05:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3194317,Debasis Bal,07-Nov-2025 04:05 PM,Rejected-AOC,rejected,02-Feb-2026 05:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3196424,Deepak Kumar Das,08-Nov-2025 11:40 AM,Rejected-AOC,rejected,02-Feb-2026 05:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3202671,DIBYAJYOTI NAYAK,10-Nov-2025 09:39 AM,Rejected-AOC,rejected,02-Feb-2026 05:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3201393,DIBYARANJAN CHAND,09-Nov-2025 01:28 PM,Rejected-AOC,rejected,02-Feb-2026 05:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3190912,GIRIJA SANKAR MALLICK,06-Nov-2025 07:51 PM,Rejected-AOC,rejected,02-Feb-2026 05:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
