Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender paper Cost and EMD,PAN,GSTIN,Contractor RC,Affidavit",24-Sep-2025 09:00 AM,09-Oct-2025 11:30 AM,24-Sep-2025 09:00 AM,08-Oct-2025 04:00 PM,NA ,NA ,24-Sep-2025 09:00 AM,08-Oct-2025 04:00 PM,04-Dec-2025 11:30 AM,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,CCEKC - 12 / 2025-26,2025_EICCL_118469_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"1,16,700",Yes,fixed,,Nil,Nil,"Construction of First Floor over the existing Commerce Block at Municipal College, Rourkela in the district of Sundargarh under PM-USHA","Construction of First Floor over the existing Commerce Block at Municipal College, Rourkela in the district of Sundargarh under PM-USHA",Please refer Tender Documents ,NA ,"1,05,67,951",Civil Works - Buildings,NA ,Tender,90.0,180.0,Rourkela,769012.0,NA ,NA ,NA ,O/o the CCE Keonjhar (R and B) Circle,No ,No,CCE Keonjhar (R and B) Circle,"O/o the CCE Keonjhar (R and B) Circle, Keonjhar-758001",AOC,Technical,Bid opening summary,Santosh Kumar Behera,09-Oct-2025 05:25 PM,technical_553644.pdf,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,2025_EICCL_118469_5,CCEKC - 12 / 2025-26,"Construction of First Floor over the existing Commerce Block at Municipal College, Rourkela in the district of Sundargarh under PM-USHA",Santosh Kumar Behera,Internal,SE Rourkela R and B Division Sr DAO Rourkela R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,21-Dec-2025 05:29 PM,finsummary_553644.pdf (89.54 KB),1.0,3115717.0,RAKESH MAHAPATRA,INR,"8,983,815",20-Feb-2026,"INR 8,983,815",180.0,Santosh Kumar Behera,20-Feb-2026 01:11 PM,AOCFIRSTFLCOMMERCE.pdf (1699.00 KB),1st Lowest Bidder Winner of Lottery,1,3110135,AJAY KUMAR AGRAWAL,04-Oct-2025 08:10 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,21-Dec-2025 05:29 PM,Santosh Kumar Behera,Internal,SE Rourkela R and B Division Sr DAO Rourkela R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,28-Nov-2025 09:39 PM,04-Dec-2025 11:30 AM,techsummary_553644.pdf (1494.10 KB),Finance,Bid opening summary,Santosh Kumar Behera,04-Dec-2025 11:54 AM,finance_553644.pdf,BOQ Comparative Chart,AOC
,,.pdf,"Machineries, work in hand, work experience",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3116695,DEEPAK KUMAR ROUT,08-Oct-2025 03:01 PM,Rejected-Technical,As per decision of tender evaluation committee.,28-Nov-2025 09:39 PM,,,,,,,,,,,,,,AOC
,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3116763,DEEPAK SAHOO,08-Oct-2025 03:32 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,21-Dec-2025 05:29 PM,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3115701,DIPTI RANJAN PRADHAN,08-Oct-2025 12:03 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,21-Dec-2025 05:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3111940,ENGICONS ASSOCIATES,08-Oct-2025 02:54 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,21-Dec-2025 05:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3101669,KALANDI CHARAN SWAIN,30-Sep-2025 09:35 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,21-Dec-2025 05:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3116311,PRASAD KUMAR SAHOO,08-Oct-2025 01:28 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,21-Dec-2025 05:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3116460,PRATIK BHUYAN,08-Oct-2025 02:01 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,21-Dec-2025 05:29 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3114458,PRITI RANJAN SAMAL,07-Oct-2025 04:58 PM,Rejected-Technical,As per decision of tender evaluation committee.,28-Nov-2025 09:39 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3115717,RAKESH MAHAPATRA,08-Oct-2025 11:41 AM,Accepted-AOC,1st Lowest Bidder Winner of Lottery,20-Feb-2026 01:11 PM,,,,,,,,,,,,,,AOC
