Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
24-Dec-2025 11:00 AM,07-Jan-2026 11:00 AM,24-Dec-2025 11:00 AM,06-Jan-2026 04:00 PM,NA ,NA ,24-Dec-2025 11:00 AM,06-Jan-2026 04:00 PM,"6,000",0.0,Nil,Nil,No,"10,000",Yes,fixed,,Nil,Nil,Municipal Bodies||Rajgangpur Municipality,EO/RGP/05 of 2025-26,2025_ORULB_123659_26,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of B.T. road from Dhobi Pada towards Rajiv Chowk in Ward No.12,Construction of B.T. road from Dhobi Pada towards Rajiv Chowk in Ward No.12,Please refer Tender documents ,NA ,"10,00,000",Civil Works - Others,NA ,Tender,90.0,90.0,Rajgangpur Municipality Area,770017.0,NA ,NA ,NA ,Rajgangpur Municipality Office,No ,No,"Executive Officer, Rajgangpur Municipality","Executive Officer, Rajgangpur Municipality, Dist-Sundargarh",1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,AOC,Madhuri Lugun,Internal,,Gobinda Dansena,04-Feb-2026 04:44 PM,techsummary_572947.pdf (1038.47 KB),Madhuri Lugun,Internal,,Gobinda Dansena,04-Feb-2026 04:49 PM,finsummary_572947.pdf (1038.47 KB),Finance,ok,Gobinda Dansena,04-Feb-2026 04:41 PM,finance_572947.pdf,BOQ Comparative Chart,04-Feb-2026,"INR 1,000,000",90.0,Gobinda Dansena,04-Feb-2026 04:53 PM,26.pdf (109.00 KB),1,3343318,AMARENDRA BISWAL,03-Jan-2026 05:59 PM,Rejected-AOC,Rejected,04-Feb-2026 04:53 PM,Municipal Bodies||Rajgangpur Municipality,2025_ORULB_123659_26,EO/RGP/05 of 2025-26,Construction of B.T. road from Dhobi Pada towards Rajiv Chowk in Ward No.12,1.0,3343934.0,PRINS BHALOTIA,INR,"1,000,000",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,3345820,BHARAT TANTY,05-Jan-2026 05:25 PM,Rejected-AOC,Rejected,04-Feb-2026 04:53 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,3345956,EVA PRATIMA XALXO,05-Jan-2026 08:01 PM,Rejected-AOC,Rejected,04-Feb-2026 04:53 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,3342678,KHALSA CONSTRUCTION,02-Jan-2026 05:24 PM,Rejected-AOC,Rejected,04-Feb-2026 04:53 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,3345313,MALAYA CHARAN NAYAK,05-Jan-2026 02:31 PM,Rejected-AOC,Rejected,04-Feb-2026 04:53 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,3345926,MD KALAM NIRBAN,05-Jan-2026 07:33 PM,Rejected-AOC,Rejected,04-Feb-2026 04:53 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,3343988,NELIMA HARSHITA TOPPO,05-Jan-2026 12:41 PM,Rejected-AOC,Rejected,04-Feb-2026 04:53 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,3343947,PRAMOD KUMAR SAMAL,04-Jan-2026 01:23 PM,Rejected-AOC,Rejected,04-Feb-2026 04:53 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,3343934,PRINS BHALOTIA,04-Jan-2026 12:59 PM,Accepted-AOC,Selected,04-Feb-2026 04:53 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,3346808,Reeta Lakra,06-Jan-2026 03:37 PM,Rejected-AOC,Rejected,04-Feb-2026 04:53 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,11,3346272,REKHA DAS,06-Jan-2026 10:39 AM,Rejected-AOC,Rejected,04-Feb-2026 04:53 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,12,3345023,SARASWATI SAHOO,05-Jan-2026 01:10 PM,Rejected-AOC,Rejected,04-Feb-2026 04:53 PM,,,,,,,,,,AOC
