EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"4,46,500",Yes,fixed,,Nil,Nil,26-Sep-2025 06:00 PM,14-Oct-2025 11:00 AM,26-Sep-2025 06:00 PM,13-Oct-2025 05:00 PM,26-Sep-2025 06:00 PM ,03-Oct-2025 05:00 PM ,26-Sep-2025 06:00 PM,13-Oct-2025 05:00 PM,11-Dec-2025 05:00 PM,1.0,ICICI BANK,"C.C.E, Northern R AND B Circle, SAMBALPUR","O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR","10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Online Proof Copy of Tender Cost, Bid Security, GSTIN, PAN, R.C and Affidavit",EIC-CIVIL||SERNB-CIRCLE-NORTHERN,CCENC (R AND B) /08/ 2025-26,2025_EICCL_118579_7,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Improvement such as widening and strengthening of SH-10 Tumnekela to Kumbhari via Ghungipali, Hirma road from 0-00 km to 1-710 km in the district of Jharsuguda under State Plan for the year 2025-26.",ROAD WORK,Please refer Tender documents. ,NA ,"4,46,46,672",Civil Works - Roads,NA ,Tender,90.0,150.0,JHARSUGUDA,768201.0,NA ,NA ,NA ,"O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",No ,No,AOC,1,3122940,ABAKASH MISHRA,11-Oct-2025 05:08 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,26-Feb-2026 04:29 PM,26-Feb-2026,"INR 37,954,136",150.0,Hemant Naik,26-Feb-2026 04:33 PM,AGTTUMBE.pdf (1870.00 KB),AGT DRAWN,Finance,FINANCIAL BID OPENED,SUCHISMITA SAHU,11-Dec-2025 05:58 PM,,BOQ Comparative Chart,CCE NC SBP,Internal,,SUCHISMITA SAHU,10-Dec-2025 08:34 PM,11-Dec-2025 05:00 PM,techsummary_553904.pdf (310.91 KB),CCE NC SBP,Internal,,Hemant Naik,26-Feb-2026 04:29 PM,finsummary_553904.pdf (1715.60 KB),Technical,TECHNICAL BID OPENED,SUCHISMITA SAHU,25-Oct-2025 01:41 PM,,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,2025_EICCL_118579_7,CCENC (R AND B) /08/ 2025-26,"Improvement such as widening and strengthening of SH-10 Tumnekela to Kumbhari via Ghungipali, Hirma road from 0-00 km to 1-710 km in the district of Jharsuguda under State Plan for the year 2025-26.",1.0,3113511.0,SANJIT KUMAR NAIK,INR,"37,954,136",AOC
,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,.pdf,"Ownership of machineries, work experience and MOU for composite Building work etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3105941,AMAN BADHAN,03-Oct-2025 07:05 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,26-Feb-2026 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience certificate and other related documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3106075,JAGADAMBA CONSTRUCTION,03-Oct-2025 08:56 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,26-Feb-2026 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3124236,M/S SHREE VISWAKARMA CONSTRUCTION,12-Oct-2025 01:55 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,26-Feb-2026 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3113511,SANJIT KUMAR NAIK,12-Oct-2025 12:01 PM,Accepted-AOC,AGT DRAWN,26-Feb-2026 04:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3124274,SUJEET KUMAR,13-Oct-2025 03:54 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,26-Feb-2026 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3123839,SUMIT SINGHAL,12-Oct-2025 06:38 AM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,26-Feb-2026 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
