Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Municipal Bodies||Baripada Municipality,2025_ORULB_121073_27,BPDM-9 OF 2025/2026,Construction of road with drain from Ganesh Singh house to Barendra Nath Swain house in Ward No.17,1.0,3248799.0,AJIT BEHERA,INR,"510,060",1,3248799,AJIT BEHERA,24-Nov-2025 06:15 AM,Accepted-AOC,As L1 through L1,16-Feb-2026 03:54 PM,16-Feb-2026,"INR 510,060",60.0,Debiprasad Rout,16-Feb-2026 03:54 PM,AG27.pdf (8104.00 KB),Finance,The 13 bidders have participated and the documents will be placed before the Tender Committee,Debiprasad Rout,30-Nov-2025 09:27 PM,,BOQ Comparative Chart,"Executive Officer, Baripada Municipality",Internal,"Municipal Engineer, Baripada Municipality, Asst CT and GST Officer,Baripada Tahasildar Baripada Executive Officer, Baripada Municipality Chairperson, Baripada Municipality",Debiprasad Rout,16-Feb-2026 03:47 PM,finsummary_563347.pdf (435.39 KB),"Executive Officer, Baripada Municipality",Internal,"Municipal Engineer, Baripada Municipality, Asst CT and GST Officer,Baripada Tahasildar Baripada Executive Officer, Baripada Municipality Chairperson, Baripada Municipality",Debiprasad Rout,16-Feb-2026 03:31 PM,techsummary_563347.pdf (2659.75 KB),AOC,11-Nov-2025 01:00 PM,25-Nov-2025 11:30 AM,11-Nov-2025 01:00 PM,24-Nov-2025 05:00 PM,NA ,NA ,11-Nov-2025 01:00 PM,24-Nov-2025 05:00 PM,Municipal Bodies||Baripada Municipality,BPDM-9 OF 2025/2026,2025_ORULB_121073_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"Executive Officer,Baripada Municipality","Executive Officer, Baripada Municipality","4,720",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost,EMD remitted online mode,GST,PAN,Contractor Valid R.C, Labour License as per DTCN",Construction of road with drain from Ganesh Singh house to Barendra Nath Swain house in Ward No.17,Construction of road with drain from Ganesh Singh house to Barendra Nath Swain house in Ward No.17,DTCN ,NA ,"5,08,474",Civil Works - Roads,NA ,Tender,120.0,60.0,Baripada Municipality,757001.0,NA ,NA ,NA ,Baripada Municipality,No ,No,"5,100",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,2,3251562,ASIT KUMAR DAS,24-Nov-2025 04:49 PM,Rejected-Finance,Through Lottery Process,16-Feb-2026 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,.pdf,"Affidavits, Undertakings and any other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3248888,CHANDRAKANTA SETHI,24-Nov-2025 01:30 AM,Rejected-Finance,Through Lottery Process,16-Feb-2026 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3250997,JAYANTA LENKA,24-Nov-2025 03:04 PM,Rejected-Finance,Through Lottery Process,16-Feb-2026 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3250264,JOYTI RANJAN UPADHYAY,24-Nov-2025 12:29 PM,Rejected-Finance,Through Lottery Process,16-Feb-2026 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3248108,MD. ISLAM,23-Nov-2025 02:17 PM,Rejected-Finance,Through Lottery Process,16-Feb-2026 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3249772,MOHOMOD SHADAB,24-Nov-2025 10:55 AM,Rejected-Finance,Through Lottery Process,16-Feb-2026 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3249480,MOUSUMEE DUTTA,24-Nov-2025 08:39 AM,Rejected-Finance,Through Lottery Process,16-Feb-2026 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3251092,MRS. RANJITA BEHERA,24-Nov-2025 03:25 PM,Rejected-Finance,Through Lottery Process,16-Feb-2026 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3249421,PRADEEP KUMAR MAHANTY,24-Nov-2025 07:17 AM,Rejected-Finance,Through Lottery Process,16-Feb-2026 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
