S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Tender Stage
1.0,3251744.0,JHUNARANI DAS,INR,"7,129,611",Finance,12NO BIDDERS PARTICIPATED,PRADEEP KUMAR SWAIN,21-Feb-2026 10:30 AM,finance_566201.pdf,BOQ Comparative Chart,EXECUTIVE ENGINEER,Internal,Nimain_Charan_Sethy_Sadhana_Behera_Pradeep_Kumar_Nayak_Debendra_Nath_Jena,PRADEEP KUMAR SWAIN,21-Feb-2026 10:46 AM,finsummary_566201.pdf (95.31 KB),"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Kendrapara",2025_OLIC_121665_19,1173/LID/KDP/2025-25,PEGARPADA_I_PEGARPADA_IIRL,EXECUTIVE ENGINEER,Internal,Nimain_Charan_Sethy_Sadhana_Behera_Pradeep_Kumar_Nayak_Debendra_Nath_Jena,PRADEEP KUMAR SWAIN,21-Feb-2026 10:35 AM,techsummary_566201.pdf (95.31 KB),1,3261885,Archana Priyadarsini,27-Nov-2025 10:19 PM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:35 AM,21-Feb-2026,"INR 7,129,611",90.0,PRADEEP KUMAR SWAIN,21-Feb-2026 11:07 AM,Pegarapada_agt.pdf (251.00 KB),WORK AWARDED AS L1 BIDDER,AOC,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Kendrapara",1173/LID/KDP/2025-25,2025_OLIC_121665_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,paper cost/RC/GST/PAN/Joint Venture/HT licensee/Experience and other documents as per DTCN,21-Nov-2025 11:00 AM,29-Nov-2025 11:00 AM,21-Nov-2025 11:00 AM,28-Nov-2025 05:00 PM,21-Nov-2025 11:00 AM ,27-Nov-2025 05:00 PM ,21-Nov-2025 11:00 AM,28-Nov-2025 05:00 PM,PEGARPADA_I_PEGARPADA_IIRL,Papaer cost/RC/PAN/GST/Joint Venture/HT license/Esxperience with other documents as per DTCN,Please refer Tender documents. ,NA ,"75,04,064",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,NA ,KENDRAPARA,754211.0,NA ,NA ,NA ,"EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPARA",No ,No,"75,040",Yes,fixed,,Nil,Nil,"11,800",0.0,Nil,Nil,No,"EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPARA","OFFICE OF THE EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPARA AT/PO-TINIMUHANI",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3261923,ASHOKDEBI PRASAD PANDA,28-Nov-2025 03:33 PM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:35 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3260479,BISWAJIT NAYAK,27-Nov-2025 04:23 PM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:35 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3251744,JHUNARANI DAS,27-Nov-2025 02:07 PM,Accepted-AOC,L1 BIDDER,21-Feb-2026 11:07 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3244316,KAMALAKANTA MOHARANA,24-Nov-2025 12:44 PM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:35 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3244049,MS NIRUPAMA ELECTRICALS,27-Nov-2025 03:36 PM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:35 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3246372,NALINI PRAVA MALLICK,27-Nov-2025 03:26 PM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:35 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3261991,Pinaki Mishra,27-Nov-2025 11:23 PM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:35 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3261167,SANJIB KUMAR BISWAL,27-Nov-2025 06:15 PM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:35 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3256208,Sarala Prasad Das,26-Nov-2025 03:49 PM,Rejected-Technical,L2 BIDDER,21-Feb-2026 10:35 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
