Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
21-Feb-2026,"INR 2,299,175",180.0,Haripriya Behera,21-Feb-2026 05:00 PM,Barodihi33A.pdf (413.00 KB),1.0,3285685.0,Kamalakanta Choudhury,INR,"2,299,175",CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,2025_CERWI_122336_33,05(Onilne)/RWD/UDALA/2025-26,Construction of 01 No. E Type Qtr at Barodihi PHC in the District of Mayurbhanj.,1,3290002,AJAY KUMAR SETHI,08-Dec-2025 04:45 PM,Rejected-AOC,L1,21-Feb-2026 05:00 PM,Finance,12 Nos of bidders admitted,Haripriya Behera,21-Feb-2026 04:53 PM,,BOQ Comparative Chart,SE RWD Udala,Internal,,Haripriya Behera,21-Feb-2026 04:57 PM,finsummary_568550.pdf (298.59 KB),SE RWD Udala,Internal,,Haripriya Behera,21-Feb-2026 04:55 PM,techsummary_568550.pdf (298.59 KB),AOC,"6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,05(Onilne)/RWD/UDALA/2025-26,2025_CERWI_122336_33,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of 01 No. E Type Qtr at Barodihi PHC in the District of Mayurbhanj.,Construction of 01 No. E Type Qtr at Barodihi PHC in the District of Mayurbhanj.,Please refer Tender documents. ,NA ,"27,04,000",Civil Works - Buildings,NA ,Tender,90.0,180.0,"SE RW Division, Udala",757041.0,NA ,NA ,NA ,"Office of the S.E R.W Division, Udala",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, EMD, RC, PAN, GSTIN, Affidavits, and other required documents as per DTCN.",02-Dec-2025 01:00 PM,08-Dec-2025 05:30 PM,02-Dec-2025 01:00 PM,08-Dec-2025 05:00 PM,02-Dec-2025 01:00 PM ,08-Dec-2025 03:00 PM ,02-Dec-2025 01:00 PM,08-Dec-2025 05:00 PM,"S.E R.W Division, Udala","S.E R.W Division, Udala","27,040",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,3286438,ARPIT ROUT,07-Dec-2025 05:42 PM,Rejected-AOC,L1,21-Feb-2026 05:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,3287360,ASIT KUMAR LENKA,07-Dec-2025 11:02 PM,Rejected-AOC,L1,21-Feb-2026 05:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3283617,BARSA MARANDI,07-Dec-2025 05:41 PM,Rejected-AOC,L1,21-Feb-2026 05:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3284419,Biswajit Pramanik,08-Dec-2025 04:53 PM,Rejected-AOC,L1,21-Feb-2026 05:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3285685,Kamalakanta Choudhury,07-Dec-2025 05:30 PM,Accepted-AOC,L1,21-Feb-2026 05:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3285059,"M/S SAI SHREE CONSTRUCTIONS, PROP. SANGYASENI ROUT",06-Dec-2025 08:27 PM,Rejected-AOC,L1,21-Feb-2026 05:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3278101,PRADIPTA KISHORE DAS,08-Dec-2025 11:49 AM,Rejected-AOC,L1,21-Feb-2026 05:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3284119,SAGAR KUMAR SETHY,07-Dec-2025 07:51 PM,Rejected-AOC,L1,21-Feb-2026 05:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3277138,SATYAPRAKASH PRADHAN,06-Dec-2025 09:42 AM,Rejected-AOC,L1,21-Feb-2026 05:00 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
