Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,ok,Barun Kumar Sa,24-Feb-2026 11:17 AM,finance_577781.pdf,BOQ Comparative Chart,Pradyut Kumar Mohanty,Internal,"Barun Kumar Sa,Nilamadhab Nag,Manaranjan Suna",Barun Kumar Sa,10-Feb-2026 12:51 PM,11-Feb-2026 10:00 AM,techsummary_577781.pdf (645.00 KB),1,3384085,AV MEDIA SOLUTIONS,07-Feb-2026 03:31 PM,Rejected-Finance,L2 Bidder,24-Feb-2026 01:00 PM,24-Feb-2026,"INR 1,998,390",60.0,Barun Kumar Sa,24-Feb-2026 01:03 PM,403.pdf (763.00 KB),Work Order Issued,1.0,3378948.0,Perfect Audio Visual Systems,INR,"1,998,390",Pradyut Kumar Mohanty,Internal,"Barun Kumar Sa,Nilamadhab Nag,Manaranjan Suna",Barun Kumar Sa,24-Feb-2026 01:00 PM,finsummary_577781.pdf (437.46 KB),Technical,ok,Barun Kumar Sa,10-Feb-2026 12:17 PM,technical_577781.pdf,Municipal Bodies||Kuchinda NAC,2026_ORULB_125090_4,KCDA/NAC-8/2025-26,Supply and Installation of sound system and allied work under the Development of the Auditorium-cum-Cultural Centre at Kuchinda,AOC,Municipal Bodies||Kuchinda NAC,KCDA/NAC-8/2025-26,2026_ORULB_125090_4,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,DTCN,1,ICICI BANK,30-Jan-2026 10:00 AM,10-Feb-2026 10:00 AM,30-Jan-2026 10:00 AM,09-Feb-2026 05:30 PM,30-Jan-2026 10:00 AM ,09-Feb-2026 05:30 PM ,30-Jan-2026 10:00 AM,09-Feb-2026 05:30 PM,11-Feb-2026 10:00 AM,"17,000",Yes,fixed,,Nil,Nil,EXECUTIVE OFFICER,"AT/PO-KUCHINDA,DIST-SAMBALPUR,ODISHA",Supply and Installation of sound system and allied work under the Development of the Auditorium-cum-Cultural Centre at Kuchinda,Supply and Installation of sound system and allied work under the Development of the Auditorium-cum-Cultural Centre at Kuchinda,As per DTCN ,NA ,0.0,Miscellaneous Works,NA ,Rate Contract,90.0,60.0,Auditorium -cum-Cultural Centre at Kuchinda,768222.0,NA ,NA ,NA ,OFFICE OF THE NAC KUCHINDA,No ,No,AOC
,,,,,,,,,,,,,2,3378948,Perfect Audio Visual Systems,06-Feb-2026 09:17 PM,Accepted-AOC,L1 Bidder,24-Feb-2026 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
