Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Pipli NAC,PIPILI-NAC-5(71)/2025-26,2025_ORULB_121427_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Regist_of_licence_GST_Regd_PAN_Paper_cost_Affidavit_Decl_and_other_doc_as_per_DTCN,1.0,ICICI BANK,"4,500",Yes,fixed,,Nil,Nil,"Executive Officer, pipli NAC","Office of the Executive officer, Pipli NAC, Pipli",Construction of CC road from Budhia House to Suda Mohapatra House in Ward No - 03,Construction of CC road from Budhia House to Suda Mohapatra House in Ward No - 03,Please refer Tender documents. ,NA ,"4,49,632",Civil Works - Roads,NA ,Tender,90.0,60.0,Pipli NAC,752104.0,NA ,NA ,NA ,"Office of the Executive officer, Pipli NAC, Pipli",No ,No,1.0,Having no experience,Other,,27-Nov-2025 12:00 PM,09-Dec-2025 11:00 AM,27-Nov-2025 12:00 PM,08-Dec-2025 05:00 PM,NA ,NA ,27-Nov-2025 12:00 PM,08-Dec-2025 05:00 PM,"2,000",0.0,Nil,Nil,No,AOC,Chairperson,Internal,,Kadambini Jena,05-Feb-2026 05:25 PM,finsummary_567108.pdf (655.70 KB),Chairperson,Internal,,Kadambini Jena,05-Feb-2026 04:35 PM,techsummary_567108.pdf (655.70 KB),05-Feb-2026,"INR 449,632.68",60.0,Kadambini Jena,05-Feb-2026 05:40 PM,WO.pdf (203.00 KB),1.0,3287308.0,Shrabani Barik,INR,"449,632.68",Municipal Bodies||Pipli NAC,2025_ORULB_121427_11,PIPILI-NAC-5(71)/2025-26,Construction of CC road from Budhia House to Suda Mohapatra House in Ward No - 03,1,3287347,Sagar Majhi,08-Dec-2025 05:29 AM,Rejected-AOC,As per transparency Lottery process,05-Feb-2026 05:40 PM,Finance,3 nos. of bidder have participated in bidding process,Kadambini Jena,05-Feb-2026 04:18 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,.xls,boq,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3287308,Shrabani Barik,08-Dec-2025 07:02 AM,Accepted-AOC,As per transparency Lottery process,05-Feb-2026 05:40 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3284783,SK FIROZ UDDIN,08-Dec-2025 12:35 PM,Rejected-Technical,Not submitted all required doc. as per dtcn.,05-Feb-2026 04:35 PM,,,,,,,AOC
