Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Twelve bidders have participated,Amar Chandra Kumar,17-Nov-2025 12:43 PM,,BOQ Comparative Chart,1.0,3176938.0,MAKARANDA SAHU,INR,"1,688,206",CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-PADMAPUR,2025_CERWI_120285_35,ONLINE 11 OF 2025-26,Periodical maintenance of L037-RD road to Banupali via Sampia Road from ch. 0.00km to 2.500km,1,3205964,ALKA JOSHI,10-Nov-2025 12:23 PM,Rejected-Finance,Not successful in lottery,31-Jan-2026 11:37 AM,04-Feb-2026,"INR 1,688,206",60.0,Tapas Ranjan Lenka,28-Feb-2026 11:40 AM,aoc.pdf (193.00 KB),118P1 of 2025-26,"Er. Tapas Ranjan Lenka, EE",Internal,Amar Ch. Kumar DA Lalit Ku. Naik JE Estr. I/c,Amar Chandra Kumar,24-Jan-2026 05:51 PM,techsummary_559945.pdf (192.73 KB),"Er. Tapas Ranjan Lenka, EE",Internal,Amar Ch. Kumar DA Lalit Ku. Naik JE Estr. I/c,Amar Chandra Kumar,31-Jan-2026 11:37 AM,finsummary_559945.pdf (192.72 KB),AOC,1.0,ICICI BANK,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-PADMAPUR,ONLINE 11 OF 2025-26,2025_CERWI_120285_35,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Periodical maintenance of L037-RD road to Banupali via Sampia Road from ch. 0.00km to 2.500km,Periodical maintenance of L037-RD road to Banupali via Sampia Road from ch. 0.00km to 2.500km,Please refer Tender documents. ,NA ,"19,85,891",Civil Works - Roads,NA ,Tender,90.0,60.0,Padampur,768036.0,NA ,NA ,NA ,"O/o the E.E RURAL WORKS DIVISION, PADAMPUR",No ,No,"19,860",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,30-Oct-2025 01:00 PM,11-Nov-2025 11:00 AM,30-Oct-2025 01:00 PM,10-Nov-2025 05:00 PM,30-Oct-2025 01:00 PM ,07-Nov-2025 05:00 PM ,30-Oct-2025 01:00 PM,10-Nov-2025 05:00 PM,"EE R.W Division,Padampur","At.Po-Padampur, Rajapada, Dist. Bargarh",1.0,Fee/PreQual/Technical/Finance,.pdf,"Online Copy of Tender cost,EMD along with Affidavit,PAN,RC,GSTIN and other docs as per DTCN",AOC
,,,,,,,,,,,,,,,2,3169368,Chandan Lal Bansal,05-Nov-2025 09:03 PM,Rejected-Finance,Not successful in lottery,31-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantity,AOC
,,,,,,,,,,,,,,,3,3190704,DILESWAR SAHU,07-Nov-2025 08:13 AM,Rejected-Finance,Not successful in lottery,31-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3205641,KUSUM CHANDRA PRADHAN,10-Nov-2025 03:00 PM,Rejected-Finance,Not successful in lottery,31-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3189934,LAKSHAPATI MAHANANDA,07-Nov-2025 07:00 AM,Rejected-Finance,Not successful in lottery,31-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3176938,MAKARANDA SAHU,04-Nov-2025 12:16 PM,Accepted-AOC,awarded,28-Feb-2026 11:40 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3205403,MANORANJAN KALO,10-Nov-2025 11:39 AM,Rejected-Finance,Not successful in lottery,31-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3197803,PRADEEP KUMAR SAHU,08-Nov-2025 04:05 PM,Rejected-Finance,Not successful in lottery,31-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3191091,SANJU SAHU,07-Nov-2025 06:19 AM,Rejected-Finance,Not successful in lottery,31-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3198163,SONALI MAHAPATRA,08-Nov-2025 07:16 PM,Rejected-Finance,Not successful in lottery,31-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,3194512,Sreeyash Infra and Developer,07-Nov-2025 04:40 PM,Rejected-Finance,Not successful in lottery,31-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,3183129,SUMAN SHARMA,09-Nov-2025 08:06 AM,Rejected-Finance,Not successful in lottery,31-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
