Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,12 Bid found,Raju Dhaunlia,25-Oct-2025 06:29 PM,finance_513534.pdf,BOQ Comparative Chart,01-Feb-2026,"INR 673,970",30.0,Raju Dhaunlia,01-Feb-2026 07:13 PM,Ang73.pdf (450.00 KB),73P-1,CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,2024_CERWI_106190_32,Online AGL-07,Bridge over Angapada Nallah on Urukula Serenda-Khamara Angapada Road,1.0,2617607.0,DAMODAR BEHERA,INR,"673,970",1,2632761,BINAYA PRADHAN,08-Nov-2024 08:23 PM,Rejected-Finance,Not Won,25-Oct-2025 06:36 PM,EE,Internal,DAO Est,Raju Dhaunlia,25-Oct-2025 06:31 PM,techsummary_513534.pdf (198.52 KB),EE,Internal,DAO Est,Raju Dhaunlia,25-Oct-2025 06:36 PM,finsummary_513534.pdf (198.52 KB),AOC,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GST PAN RC Affidavit regarding correctness No relation certificate,"Executive Engineer, R.W. Division, Angul","Executive Engineer, R.W. Division, Angul",1.0,ICICI BANK,04-Nov-2024 09:45 AM,09-Nov-2024 06:00 PM,04-Nov-2024 09:45 AM,09-Nov-2024 05:00 PM,04-Nov-2024 09:45 AM ,07-Nov-2024 01:00 PM ,04-Nov-2024 09:45 AM,09-Nov-2024 05:00 PM,CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,Online AGL-07,2024_CERWI_106190_32,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,800",Yes,fixed,,Nil,Nil,Bridge over Angapada Nallah on Urukula Serenda-Khamara Angapada Road,Bridge over Angapada Nallah on Urukula Serenda-Khamara Angapada Road,Please refer Tender documents. ,NA ,"6,72,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Angul,759143.0,NA ,NA ,NA ,"O/O Executive Engineer, R.W. Division, Angul",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2617607,DAMODAR BEHERA,07-Nov-2024 07:38 PM,Accepted-AOC,OK,01-Feb-2026 07:13 PM,,,,,,,,,,,,,AOC,,,,,,,,.pdf,Other documents as per DTCN,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2616284,IKAL BISWAL,04-Nov-2024 09:45 PM,Rejected-Finance,Not Won,25-Oct-2025 06:36 PM,,,,,,,,,,,,,AOC,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2633374,JITENDRA KUMAR PRADHAN,09-Nov-2024 11:10 AM,Rejected-Finance,Not Won,25-Oct-2025 06:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2630763,LAMBODAR SAHOO,08-Nov-2024 05:19 PM,Rejected-Finance,Not Won,25-Oct-2025 06:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2626706,PRIYANKA PRIYADARSINI DHALA,07-Nov-2024 08:13 AM,Rejected-Finance,Not Won,25-Oct-2025 06:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2621208,RASHMI PRADHAN,05-Nov-2024 09:39 PM,Rejected-Finance,Not Won,25-Oct-2025 06:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,2625718,RASMITA PRADHAN,06-Nov-2024 08:49 PM,Rejected-Finance,Not Won,25-Oct-2025 06:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,2631506,SNIGDHA SAHOO,09-Nov-2024 07:53 AM,Rejected-Finance,Not Won,25-Oct-2025 06:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,2633983,SUPRABHA MANJARI BISWAL,09-Nov-2024 02:57 PM,Rejected-Finance,Not Won,25-Oct-2025 06:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
