S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
1.0,3043196.0,UNICORN INDIA PRIVATE LIMITED,INR,"19,321,268",ODISHA CONSTRUCTION CORPORATION LTD,2025_OCCL_116351_1,E-procurement Notice No.27/OCCL/2025-26(on-line),Bid identification No.OCCL-BGP/02/2025-26,MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,06-Oct-2025 05:24 PM,08-Oct-2025 03:00 PM,techsummary_548076.pdf (1650.67 KB),MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,15-Nov-2025 08:38 PM,finsummary_548076.pdf (2198.37 KB),01-Dec-2025,"INR 19,321,268",180.0,Sarat Chandra Ghadei,11-Feb-2026 05:39 PM,3.pdf (308.00 KB),AOC,Finance,Opened Successfully.,Pratap Chandra Chaudhury,08-Oct-2025 04:16 PM,,BOQ Comparative Chart,1,3038670,Binay Ray,16-Aug-2025 04:49 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 08:38 PM,Technical,Opened Successfully.,Pratap Chandra Chaudhury,25-Aug-2025 12:25 PM,,AOC,02-Aug-2025 03:30 PM,25-Aug-2025 12:00 PM,02-Aug-2025 03:30 PM,22-Aug-2025 05:30 PM,02-Aug-2025 03:30 PM ,09-Aug-2025 03:30 PM ,02-Aug-2025 03:30 PM,22-Aug-2025 05:30 PM,08-Oct-2025 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,EPF registration certificate, Valid OCC Ltd enlistment certificate and EMD (Mandatory) etc.","2,27,000",Yes,fixed,,Nil,Nil,ODISHA CONSTRUCTION CORPORATION LTD,E-procurement Notice No.27/OCCL/2025-26(on-line),2025_OCCL_116351_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",Nil,Nil,No,MANAGING DIRECTOR OF OCC LTD.,"ODISHA CONSTRUCTION CORPORATION Ltd. UNIT - VIII, GOPABANDHUNAGAR,BBSR-751012",Bid identification No.OCCL-BGP/02/2025-26,"Improvement to Nilimari Distributary from RD 2.000 KM to RD 3.000 KM and Goreiguda Distributary from RD 0.500 KM to RD 3.000 KM of Satiguda Medium Irrigation Project, Malkanagiri.",AS PER DTCN. ,NA ,"2,27,28,229",Civil Works - Others,NA ,Tender,90.0,180.0,Malkangiri town in Malkangiri district.,764045.0,NA ,NA ,NA ,HEAD OFFICE OCCL,No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3032426,HARA PRASAD NAYAK,11-Aug-2025 09:40 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 08:38 PM,,,,,,AOC,,,,,,,,,,,,.pdf,"Other documents as per DTCN. EMD is in BG Shape, Provide Original BG during technical bid opening.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3044568,Kiran Kumar Gouda,22-Aug-2025 02:31 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 08:38 PM,,,,,,AOC,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3022314,Lalit Somani,20-Aug-2025 07:18 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 08:38 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3043849,MRINAL KANTA SARKAR,22-Aug-2025 01:25 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 08:38 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3041669,NIMAI CHANDRA PAUL,19-Aug-2025 05:59 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 08:38 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3043829,Pratik Parida,22-Aug-2025 02:01 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 08:38 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3044369,PRIYABRATA ROUT,22-Aug-2025 01:13 PM,Rejected-Technical,Non - Responsive.,06-Oct-2025 05:24 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3043151,SRI SANJAY SARKAR,22-Aug-2025 03:19 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 08:38 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3044613,SURJIT NANDY,22-Aug-2025 04:05 PM,Rejected-Technical,Non - Responsive.,06-Oct-2025 05:24 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
