S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,"11,800",0.0,Nil,Nil,Yes,Orissa Lift Irrigation Corporation,733 DT-21.01.2025,2025_OLIC_109754_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,MD OLIC,OFFICE OF MD OLIC PLOT NO-N-17/2 NAYAPALLI BBSR,"Installatin, Electrification, Energisation and Commissioning of Borewells in JHARSUGUDA District Pkg-01 BID ID-01","Installatin, Electrification, Energisation and Commissioning of Borewells in JHARSUGUDA District Pkg-01 BID ID-01",Please refer DTCN ,NA ,"15,34,40,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,180.0,JHARSUGUDA,768201.0,NA ,NA ,NA ,OFFICE OF MD OLIC PLOT NO-N-17/2 NAYAPALLI BBSR,No ,No,28-Jan-2025 10:00 AM,25-Feb-2025 11:00 AM,28-Jan-2025 10:00 AM,24-Feb-2025 05:00 PM,28-Jan-2025 10:00 AM ,11-Feb-2025 05:00 PM ,28-Jan-2025 10:00 AM,24-Feb-2025 05:00 PM,07-Jul-2025 11:00 AM,"15,34,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,"TENDER COST, EMD, GST, PAN AND ALL OTHER DOCUMENTS AS PER DTCN",AOC,Technical,Two nos of bidders have participated,Sudarsan Sadangi,25-Feb-2025 11:31 AM,,1,2829668,"m s mahabir borewell and equipments, prop.padmalava mallick",24-Feb-2025 10:59 AM,Rejected-Finance,Rejected by Tender Committee,15-Oct-2025 03:49 PM,Finance,Two nos of bidders have participated,Sudarsan Sadangi,07-Jul-2025 12:21 PM,,BOQ Comparative Chart,MD OLIC LTD,Internal,"FA-CUM-CAO DOWR, FA AND CAO OLIC, ED (TECH) OLIC, ADDL. CHIEF ENGINEER RWSS, REP. OF DIRECTOR GWD, EE (MP) OLIC",Sudarsan Sadangi,15-Oct-2025 03:49 PM,finsummary_527016.pdf (17372.14 KB),15-Oct-2025,"INR 151,614,001.61",180.0,Sudarsan Sadangi,26-Feb-2026 12:38 PM,OrderJharsuguda01.pdf (444.00 KB),ORDER,CE MECH DOWR,Internal,"FA AND CAO OLIC, ED (TECH) OLIC, ADDL. CHIEF ENGINEER RWSS, ADDL. DIRECTOR GWD, EE (ELECT.) OLIC, EE (MP) OLIC",Sudarsan Sadangi,02-Jul-2025 11:45 AM,07-Jul-2025 11:00 AM,techsummary_527016.pdf (12490.21 KB),Orissa Lift Irrigation Corporation,2025_OLIC_109754_1,733 DT-21.01.2025,"Installatin, Electrification, Energisation and Commissioning of Borewells in JHARSUGUDA District Pkg-01 BID ID-01",1.0,2829359.0,TIRUPATI DRILLING AND MINING SERVICES PVT. LTD,INR,"151,614,001.61",AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,2,2829359,TIRUPATI DRILLING AND MINING SERVICES PVT. LTD,24-Feb-2025 12:18 PM,Accepted-AOC,L-1,26-Feb-2026 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
