S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3329507.0,RAMA CHANDRA ADHIKARI,INR,"6,064,027.69",SE M.I DIVIN GM-I,Internal,,Amiya Kumar Mudali,04-Feb-2026 05:53 PM,finsummary_571563.pdf (771.55 KB),Technical,26 bidders have admitted for technical evaluation,Amiya Kumar Mudali,01-Jan-2026 05:15 PM,technical_571563.pdf,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I",2025_CEMIB_123160_1,Online Tender /07/ GMID-I/2025-26,Construction of canal lining of Khairabanka MIP under Capex Lining,Finance,26 bidders have participated,Amiya Kumar Mudali,15-Jan-2026 06:31 PM,,BOQ Comparative Chart,SE M.I DIVIN GM-I,Internal,,Amiya Kumar Mudali,01-Jan-2026 05:19 PM,02-Jan-2026 11:00 AM,techsummary_571563.pdf (359.50 KB),1,3329853,ABHIMANYU RAUTA,26-Dec-2025 02:16 PM,Rejected-AOC,Loser in transparency lottery,04-Feb-2026 05:59 PM,04-Feb-2026,"INR 6,064,027.69",90.0,Amiya Kumar Mudali,04-Feb-2026 05:59 PM,57_W.pdf (428.00 KB),AOC,"71,500",Yes,fixed,,Nil,Nil,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I",Online Tender /07/ GMID-I/2025-26,2025_CEMIB_123160_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,AFFIDAVIT, NO RELATION CERTIFICATE,CDMS COPY OF REGISTRATION CERTIFICATE",Construction of canal lining of Khairabanka MIP under Capex Lining,Construction of canal lining of in RMC from RD 180 m to RD 400 m RD 1800 m to RD 2300 m LMC from RD 2275 m to 2375 mt Pratapgiri MC from RD 890 m to 960 m Madalpali MC from RD 00 m to 570 m Pratapgiri Sub MC rom RD 660m to 1040 of Khairabanka MIP,Please refer Tender documents. ,NA ,"71,50,000",Civil Works - Others,NA ,Tender,90.0,90.0,Sanakhemundi,761009.0,NA ,NA ,NA ,"SE MI DIVIN GM-I,BAM",No ,No,"10,000",0.0,Nil,Nil,No,"SE MI DIVIN GM-I,BAM","SE MI DIVIN GM-I,BAM, ENGINEERING SCHOOL ROAD",1.0,ICICI BANK,12-Dec-2025 05:30 PM,26-Dec-2025 05:15 PM,12-Dec-2025 05:30 PM,26-Dec-2025 05:00 PM,12-Dec-2025 05:30 PM ,25-Dec-2025 05:00 PM ,12-Dec-2025 05:30 PM,26-Dec-2025 05:00 PM,02-Jan-2026 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3317497,AKASH CHANDRA DASH,21-Dec-2025 12:12 PM,Rejected-AOC,Loser in transparency lottery,04-Feb-2026 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3325144,Amit kumar raulo,23-Dec-2025 07:13 PM,Rejected-AOC,Loser in transparency lottery,04-Feb-2026 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3309635,Ashok Kumar Nayak,16-Dec-2025 09:15 PM,Rejected-AOC,Loser in transparency lottery,04-Feb-2026 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3326861,BHIKARI CHARAN JENA,24-Dec-2025 07:43 PM,Rejected-AOC,Loser in transparency lottery,04-Feb-2026 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3326767,Chinmaya Kumar Rana,24-Dec-2025 06:41 PM,Rejected-AOC,Loser in transparency lottery,04-Feb-2026 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3328952,Chiranjibi Muni,26-Dec-2025 10:54 AM,Rejected-AOC,Loser in transparency lottery,04-Feb-2026 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3324615,DHANU SAHU,23-Dec-2025 05:51 PM,Rejected-AOC,Loser in transparency lottery,04-Feb-2026 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3330203,Dusmanta Kumar Dalai,26-Dec-2025 04:09 PM,Rejected-AOC,Loser in transparency lottery,04-Feb-2026 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3329255,GOPAL KRUSHNA SAHU,26-Dec-2025 12:09 PM,Rejected-AOC,Loser in transparency lottery,04-Feb-2026 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
