S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,"11,800",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits as per DTCN",14-Nov-2025 05:00 PM,02-Dec-2025 12:30 PM,14-Nov-2025 05:00 PM,29-Nov-2025 05:00 PM,14-Nov-2025 05:00 PM ,20-Nov-2025 05:00 PM ,14-Nov-2025 05:00 PM,29-Nov-2025 05:00 PM,15-Jan-2026 11:30 AM,Managing Director,"The Managing Director, WATCO Ground Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Odisha, India (0674) 2571444","1,51,000",Yes,fixed,,Nil,Nil,"Laying of 250mm DI K-9 water supply Feeder main with fixing of flow meter, flow control valves etc. and ancillary works for loading of GSR at Gadakana DMA from Sikharchandi MBR in Ward No-9 of BMC, Bhubaneswar","Laying of 250mm DI K-9 water supply Feeder main with fixing of flow meter, flow control valves etc. and ancillary works for loading of GSR at Gadakana DMA from Sikharchandi MBR in Ward No-9 of BMC, Bhubaneswar",Please refer Tender documents. ,NA ,"1,51,28,000",Civil Works - Water Works,NA ,Tender,120.0,365.0,"Gadakan, Bhubaneswar",751017.0,NA ,NA ,NA ,Bhubaneswar,No ,No,WATCO Bhubaneswar,WATCO (W)-22(07)/2025-26 Dtd.04.11.2025,2025_WATCO_121213_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Technical,Fourteen no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,03-Dec-2025 01:43 PM,,WATCO Bhubaneswar,2025_WATCO_121213_1,WATCO (W)-22(07)/2025-26 Dtd.04.11.2025,"Laying of 250mm DI K-9 water supply Feeder main with fixing of flow meter, flow control valves etc. and ancillary works for loading of GSR at Gadakana DMA from Sikharchandi MBR in Ward No-9 of BMC, Bhubaneswar",Managing Director,Internal,,JAYALAXMI BISWAL,26-Feb-2026 11:38 AM,finsummary_563986.pdf (893.46 KB),1.0,3265807.0,M/S GAURAV INFRA,INR,"12,860,722",1,3241804,Biswajeet Sahoo,26-Nov-2025 12:39 PM,Rejected-AOC,Not a lowest bidder,26-Feb-2026 11:42 AM,26-Feb-2026,"INR 12,860,722",365.0,JAYALAXMI BISWAL,26-Feb-2026 11:42 AM,AOC.pdf (1532.00 KB),Managing Director,Internal,,JAYALAXMI BISWAL,13-Jan-2026 12:39 PM,15-Jan-2026 11:30 AM,techsummary_563986.pdf (5029.93 KB),Finance,Fourteen no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,15-Jan-2026 12:55 PM,,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3259150,CHINTAMANI KUNDA,29-Nov-2025 12:39 AM,Rejected-AOC,Not a lowest bidder,26-Feb-2026 11:42 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3262530,DEBASH KUMAR SIA,28-Nov-2025 10:53 AM,Rejected-AOC,Not a lowest bidder,26-Feb-2026 11:42 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3266844,Ghanashyam Bhoi,29-Nov-2025 04:21 PM,Rejected-AOC,Not a lowest bidder,26-Feb-2026 11:42 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3265807,M/S GAURAV INFRA,29-Nov-2025 11:53 AM,Accepted-AOC,Lowest bidder in Lottery,26-Feb-2026 11:42 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3261981,PABITRA KUMAR ACHARYA,29-Nov-2025 04:20 PM,Rejected-AOC,Not a lowest bidder,26-Feb-2026 11:42 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3260671,Rakesh Kumar Jena,27-Nov-2025 07:02 PM,Rejected-AOC,Not a lowest bidder,26-Feb-2026 11:42 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3265770,RAKESH KUMAR KHANDUAL,29-Nov-2025 03:38 PM,Rejected-AOC,Not a lowest bidder,26-Feb-2026 11:42 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3266194,RAMAKANTA PANDA,29-Nov-2025 01:37 PM,Rejected-AOC,Not a lowest bidder,26-Feb-2026 11:42 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3266139,SAMRAT SWAIN,29-Nov-2025 01:10 PM,Rejected-AOC,Not a lowest bidder,26-Feb-2026 11:42 AM,,,,,,,,,,,,,,,,,,,,AOC
