Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Repair And Improvement To Madhapur Check Dam In Ghatagon Block Of Keonjhar District For The Year 2025-26,Repair And Improvement To Madhapur Check Dam In Ghatagon Block Of Keonjhar District For The Year 2025-26,Please refer Tender documents. ,NA ,"6,64,000",Civil Works - Others,NA ,Rate Contract,90.0,90.0,GHATAGAON,758020.0,NA ,NA ,NA ,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",No ,No,26-Sep-2025 10:00 AM,13-Oct-2025 10:00 AM,26-Sep-2025 10:05 AM,10-Oct-2025 05:00 PM,NA ,NA ,26-Sep-2025 10:10 AM,10-Oct-2025 05:00 PM,SUPERINTENDING ENGINEER,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD","4,000",0.0,Nil,Nil,No,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",Bid Identification No.- 11/ MIDA / 2025-26,2025_CEMIB_118683_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, PAN, GST, EMD, Affidavits,Other relevant documents as per DTCN","6,700",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,04-Feb-2026,"INR 564,338.85",90.0,Ashok Kumar Sethi,04-Feb-2026 01:42 AM,madhapur.pdf (129.00 KB),1,3110520,ALOK KUMAR SWAIN,05-Oct-2025 12:10 PM,Rejected-Finance,Lottery,04-Feb-2026 01:38 AM,se,Internal,,Ashok Kumar Sethi,04-Feb-2026 01:31 AM,techsummary_554164.pdf (128.90 KB),"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",2025_CEMIB_118683_8,Bid Identification No.- 11/ MIDA / 2025-26,Repair And Improvement To Madhapur Check Dam In Ghatagon Block Of Keonjhar District For The Year 2025-26,se,Internal,,Ashok Kumar Sethi,04-Feb-2026 01:38 AM,finsummary_554164.pdf (128.90 KB),Finance,summary,Ashok Kumar Sethi,04-Feb-2026 01:27 AM,finance_554164.pdf,BOQ Comparative Chart,1.0,3114294.0,JYOTISMITA SAHU,INR,"564,338.85",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,2,3110990,ARATI JENA,05-Oct-2025 03:32 PM,Rejected-Finance,Lottery,04-Feb-2026 01:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3120395,BHAGABAN BEHERA,09-Oct-2025 04:31 PM,Rejected-Finance,Lottery,04-Feb-2026 01:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3109963,BIJAY KUMAR SAHOO,04-Oct-2025 06:12 PM,Rejected-Finance,Lottery,04-Feb-2026 01:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3101687,DURYODHAN SAHOO,27-Sep-2025 08:32 PM,Rejected-Finance,Lottery,04-Feb-2026 01:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3121387,JAY MAHADEV CONSTRUCTION,10-Oct-2025 01:26 PM,Rejected-Finance,Lottery,04-Feb-2026 01:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3118261,JITENDRA KUMAR BEHERA,08-Oct-2025 11:52 PM,Rejected-Finance,Lottery,04-Feb-2026 01:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3114294,JYOTISMITA SAHU,07-Oct-2025 08:33 PM,Accepted-AOC,aoc,04-Feb-2026 01:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3107420,Mamata Mayee Mishra,03-Oct-2025 03:08 PM,Rejected-Finance,Lottery,04-Feb-2026 01:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3121288,MITALI SWAIN,10-Oct-2025 02:23 PM,Rejected-Finance,Lottery,04-Feb-2026 01:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
